[mine] roots=8700 todo=8700 resumed=0 levels=(200, 344, 688, 1376) k_dets=4 W=12 -> /mnt/carc-shared/leaf_residual_mining_20260721/records_primary.jsonl
  4300/8700  ok=4300 bad=0  2449s  1.76 roots/s  eta 42min
  4350/8700  ok=4350 bad=0  2478s  1.76 roots/s  eta 41min
  4400/8700  ok=4400 bad=0  2505s  1.76 roots/s  eta 41min
  4450/8700  ok=4450 bad=0  2533s  1.76 roots/s  eta 40min
  4500/8700  ok=4500 bad=0  2561s  1.76 roots/s  eta 40min
  4550/8700  ok=4550 bad=0  2589s  1.76 roots/s  eta 39min
  4600/8700  ok=4600 bad=0  2616s  1.76 roots/s  eta 39min
  4650/8700  ok=4650 bad=0  2643s  1.76 roots/s  eta 38min
  4700/8700  ok=4700 bad=0  2671s  1.76 roots/s  eta 38min
  4750/8700  ok=4750 bad=0  2699s  1.76 roots/s  eta 37min
  4800/8700  ok=4800 bad=0  2726s  1.76 roots/s  eta 37min
  4850/8700  ok=4850 bad=0  2753s  1.76 roots/s  eta 36min
  4900/8700  ok=4900 bad=0  2780s  1.76 roots/s  eta 36min
  4950/8700  ok=4950 bad=0  2808s  1.76 roots/s  eta 35min
  5000/8700  ok=5000 bad=0  2834s  1.76 roots/s  eta 35min
  5050/8700  ok=5050 bad=0  2862s  1.76 roots/s  eta 34min
  5100/8700  ok=5100 bad=0  2890s  1.76 roots/s  eta 34min
  5150/8700  ok=5150 bad=0  2917s  1.77 roots/s  eta 34min
  5200/8700  ok=5200 bad=0  2944s  1.77 roots/s  eta 33min
  5250/8700  ok=5250 bad=0  2972s  1.77 roots/s  eta 33min
  5300/8700  ok=5300 bad=0  2999s  1.77 roots/s  eta 32min
  5350/8700  ok=5350 bad=0  3025s  1.77 roots/s  eta 32min
  5400/8700  ok=5400 bad=0  3053s  1.77 roots/s  eta 31min
  5450/8700  ok=5450 bad=0  3080s  1.77 roots/s  eta 31min
  5500/8700  ok=5500 bad=0  3109s  1.77 roots/s  eta 30min
  5550/8700  ok=5550 bad=0  3136s  1.77 roots/s  eta 30min
  5600/8700  ok=5600 bad=0  3163s  1.77 roots/s  eta 29min
  5650/8700  ok=5650 bad=0  3193s  1.77 roots/s  eta 29min
  5700/8700  ok=5700 bad=0  3218s  1.77 roots/s  eta 28min
  5750/8700  ok=5750 bad=0  3246s  1.77 roots/s  eta 28min
  5800/8700  ok=5800 bad=0  3274s  1.77 roots/s  eta 27min
  5850/8700  ok=5850 bad=0  3301s  1.77 roots/s  eta 27min
  5900/8700  ok=5900 bad=0  3328s  1.77 roots/s  eta 26min
  5950/8700  ok=5950 bad=0  3355s  1.77 roots/s  eta 26min
  6000/8700  ok=6000 bad=0  3382s  1.77 roots/s  eta 25min
  6050/8700  ok=6050 bad=0  3410s  1.77 roots/s  eta 25min
  6100/8700  ok=6100 bad=0  3438s  1.77 roots/s  eta 24min
  6150/8700  ok=6150 bad=0  3465s  1.77 roots/s  eta 24min
  6200/8700  ok=6200 bad=0  3493s  1.77 roots/s  eta 23min
  6250/8700  ok=6250 bad=0  3522s  1.77 roots/s  eta 23min
  6300/8700  ok=6300 bad=0  3549s  1.78 roots/s  eta 23min
  6350/8700  ok=6350 bad=0  3579s  1.77 roots/s  eta 22min
  6400/8700  ok=6400 bad=0  3606s  1.77 roots/s  eta 22min
  6450/8700  ok=6450 bad=0  3634s  1.77 roots/s  eta 21min
  6500/8700  ok=6500 bad=0  3661s  1.78 roots/s  eta 21min
  6550/8700  ok=6550 bad=0  3687s  1.78 roots/s  eta 20min
  6600/8700  ok=6600 bad=0  3715s  1.78 roots/s  eta 20min
  6650/8700  ok=6650 bad=0  3739s  1.78 roots/s  eta 19min
  6700/8700  ok=6700 bad=0  3768s  1.78 roots/s  eta 19min
  6750/8700  ok=6750 bad=0  3796s  1.78 roots/s  eta 18min
  6800/8700  ok=6800 bad=0  3825s  1.78 roots/s  eta 18min
  6850/8700  ok=6850 bad=0  3854s  1.78 roots/s  eta 17min
  6900/8700  ok=6900 bad=0  3881s  1.78 roots/s  eta 17min
  6950/8700  ok=6950 bad=0  3907s  1.78 roots/s  eta 16min
  7000/8700  ok=7000 bad=0  3937s  1.78 roots/s  eta 16min
  7050/8700  ok=7050 bad=0  3965s  1.78 roots/s  eta 15min
  7100/8700  ok=7100 bad=0  3990s  1.78 roots/s  eta 15min
  7150/8700  ok=7150 bad=0  4018s  1.78 roots/s  eta 15min
  7200/8700  ok=7200 bad=0  4044s  1.78 roots/s  eta 14min
  7250/8700  ok=7250 bad=0  4072s  1.78 roots/s  eta 14min
  7300/8700  ok=7300 bad=0  4099s  1.78 roots/s  eta 13min
  7350/8700  ok=7350 bad=0  4127s  1.78 roots/s  eta 13min
  7400/8700  ok=7400 bad=0  4152s  1.78 roots/s  eta 12min
  7450/8700  ok=7450 bad=0  4180s  1.78 roots/s  eta 12min
  7500/8700  ok=7500 bad=0  4209s  1.78 roots/s  eta 11min
  7550/8700  ok=7550 bad=0  4235s  1.78 roots/s  eta 11min
  7600/8700  ok=7600 bad=0  4261s  1.78 roots/s  eta 10min
  7650/8700  ok=7650 bad=0  4289s  1.78 roots/s  eta 10min
  7700/8700  ok=7700 bad=0  4317s  1.78 roots/s  eta 9min
  7750/8700  ok=7750 bad=0  4344s  1.78 roots/s  eta 9min
  7800/8700  ok=7800 bad=0  4372s  1.78 roots/s  eta 8min
  7850/8700  ok=7850 bad=0  4399s  1.78 roots/s  eta 8min
  7900/8700  ok=7900 bad=0  4425s  1.79 roots/s  eta 7min
  7950/8700  ok=7950 bad=0  4454s  1.78 roots/s  eta 7min
  8000/8700  ok=8000 bad=0  4484s  1.78 roots/s  eta 7min
  8050/8700  ok=8050 bad=0  4512s  1.78 roots/s  eta 6min
  8100/8700  ok=8100 bad=0  4540s  1.78 roots/s  eta 6min
  8150/8700  ok=8150 bad=0  4566s  1.78 roots/s  eta 5min
  8200/8700  ok=8200 bad=0  4594s  1.78 roots/s  eta 5min
  8250/8700  ok=8250 bad=0  4623s  1.78 roots/s  eta 4min
  8300/8700  ok=8300 bad=0  4648s  1.79 roots/s  eta 4min
  8350/8700  ok=8350 bad=0  4676s  1.79 roots/s  eta 3min
  8400/8700  ok=8400 bad=0  4704s  1.79 roots/s  eta 3min
  8450/8700  ok=8450 bad=0  4732s  1.79 roots/s  eta 2min
  8500/8700  ok=8500 bad=0  4759s  1.79 roots/s  eta 2min
  8550/8700  ok=8550 bad=0  4785s  1.79 roots/s  eta 1min
  8600/8700  ok=8600 bad=0  4813s  1.79 roots/s  eta 1min
  8650/8700  ok=8650 bad=0  4842s  1.79 roots/s  eta 0min
  8700/8700  ok=8700 bad=0  4870s  1.79 roots/s  eta 0min
[mine] done ok=8700 bad=0 in 4870s
