2026-07-30 23:26:41 [chain-local] chain watchdog armed: cells=[meepleoff oppanticoff anticoff selfanticoff meepleflat capoff] n=400 out_root=/mnt/c/carc-shared/leaf_ablation pattern='seed-start 96000000000'
2026-07-30 23:26:41 [chain-local] watching cell meepleoff (0/400)
2026-07-30 23:26:41 watchdog armed: glob=/mnt/c/carc-shared/leaf_ablation/abl_meepleoff/seed*_a*.json n=400 record_ext=.json pattern=seed-start 96000000000 relaunch=nice -n 19 bash /home/doctor/projects/carcassone/scripts/classical_search/leaf_ablation_launcher.sh 16 local
2026-07-30 23:32:47 [chain-local] chain watchdog armed: cells=[meepleoff oppanticoff anticoff selfanticoff meepleflat capoff] n=400 out_root=/mnt/c/carc-shared/leaf_ablation pattern='seed-start 96000000000'
2026-07-30 23:32:47 [chain-local] watching cell meepleoff (0/400)
2026-07-31 05:58:56 healthy: 16/400 records, workers alive
2026-07-31 06:03:56 healthy: 26/400 records, workers alive
2026-07-31 06:08:56 healthy: 32/400 records, workers alive
2026-07-31 06:13:56 healthy: 40/400 records, workers alive
2026-07-31 06:18:56 healthy: 48/400 records, workers alive
2026-07-31 06:23:57 healthy: 57/400 records, workers alive
2026-07-31 06:28:57 healthy: 65/400 records, workers alive
2026-07-31 06:33:57 healthy: 71/400 records, workers alive
2026-07-31 06:38:58 healthy: 82/400 records, workers alive
2026-07-31 06:43:58 healthy: 99/400 records, workers alive
2026-07-31 06:48:59 healthy: 114/400 records, workers alive
2026-07-31 06:53:59 healthy: 126/400 records, workers alive
2026-07-31 06:59:00 healthy: 145/400 records, workers alive
2026-07-31 07:04:00 healthy: 157/400 records, workers alive
2026-07-31 07:09:01 healthy: 177/400 records, workers alive
2026-07-31 07:14:02 healthy: 188/400 records, workers alive
2026-07-31 07:19:03 healthy: 206/400 records, workers alive
2026-07-31 07:24:04 healthy: 218/400 records, workers alive
2026-07-31 07:29:05 healthy: 236/400 records, workers alive
2026-07-31 07:34:06 healthy: 248/400 records, workers alive
2026-07-31 07:39:07 healthy: 267/400 records, workers alive
2026-07-31 07:44:08 healthy: 279/400 records, workers alive
2026-07-31 07:49:09 healthy: 292/400 records, workers alive
2026-07-31 07:54:11 healthy: 311/400 records, workers alive
2026-07-31 07:59:12 healthy: 322/400 records, workers alive
2026-07-31 08:04:14 healthy: 342/400 records, workers alive
2026-07-31 08:09:15 healthy: 355/400 records, workers alive
2026-07-31 08:14:17 healthy: 373/400 records, workers alive
2026-07-31 08:19:18 healthy: 386/400 records, workers alive
2026-07-31 08:24:20 DONE: 400/400 records
2026-07-31 08:24:21 [chain-local] cell anticoff watch ended rc=0 (400/400 records)
2026-07-31 08:24:21 [chain-local] watching cell selfanticoff (0/400)
2026-07-31 08:24:21 watchdog armed: glob=/mnt/c/carc-shared/leaf_ablation/abl_selfanticoff/seed*_a*.json n=400 record_ext=.json pattern=seed-start 96000000000 relaunch=nice -n 19 bash /home/doctor/projects/carcassone/scripts/classical_search/leaf_ablation_launcher.sh 16 local
2026-07-31 08:29:21 healthy: 0/400 records, workers alive
2026-07-31 08:34:21 healthy: 15/400 records, workers alive
2026-07-31 08:39:22 healthy: 16/400 records, workers alive
2026-07-31 08:44:22 healthy: 31/400 records, workers alive
2026-07-31 08:49:22 healthy: 35/400 records, workers alive
2026-07-31 08:54:22 healthy: 50/400 records, workers alive
2026-07-31 08:59:22 healthy: 66/400 records, workers alive
2026-07-31 09:04:23 healthy: 83/400 records, workers alive
2026-07-31 09:09:23 healthy: 98/400 records, workers alive
2026-07-31 09:14:24 healthy: 117/400 records, workers alive
2026-07-31 09:19:24 healthy: 131/400 records, workers alive
2026-07-31 09:24:24 healthy: 154/400 records, workers alive
