idx,regime,mover_spec,opp_spec,opp_class,phase,k_remaining,legal_n,final_margin_mover,result_mover,motifs,block_opp,block_mag,block_actual_took,avoid_feeding_opp,avoid_feeding_mag,avoid_feeding_actual_took,contest_merge_opp,contest_merge_mag,contest_merge_actual_took,farm_claim_opp,farm_claim_mag,farm_claim_actual_took
451,rod1:random,random,rod1,strong,pre_endgame,11,39,-45,L,block|avoid_feeding,1,5.5,0,1,5.5,0,0,,,0,,
452,rod1:random,rod1,random,weak,pre_endgame,10,34,45,W,contest_merge,0,,,0,,,1,21.0,0,0,,
457,greedy:greedy,greedy,greedy,mid,opening,70,4,-31,L,farm_claim,0,,,0,,,0,,,1,6.0,0
458,greedy:greedy,greedy,greedy,mid,opening,69,3,31,W,farm_claim,0,,,0,,,0,,,1,6.0,0
454,rod1:random,rod1,random,weak,pre_endgame,8,7,45,W,farm_claim,0,,,0,,,0,,,1,9.0,0
453,rod1:random,random,rod1,strong,pre_endgame,9,42,-45,L,contest_merge,0,,,0,,,1,21.0,0,0,,
461,greedy:greedy,greedy,greedy,mid,opening,65,7,31,W,farm_claim,0,,,0,,,0,,,1,6.0,0
459,greedy:greedy,greedy,greedy,mid,opening,68,3,-31,L,farm_claim,0,,,0,,,0,,,1,6.0,0
455,rod1:random,random,rod1,strong,pre_endgame,7,37,-45,L,block|avoid_feeding,1,2.0,1,1,2.0,1,0,,,0,,
462,greedy:greedy,greedy,greedy,mid,opening,63,6,31,W,farm_claim,0,,,0,,,0,,,1,9.0,0
460,greedy:greedy,greedy,greedy,mid,opening,67,3,31,W,farm_claim,0,,,0,,,0,,,1,6.0,0
463,greedy:greedy,greedy,greedy,mid,opening,61,3,31,W,farm_claim,0,,,0,,,0,,,1,9.0,0
464,greedy:greedy,greedy,greedy,mid,opening,60,5,-31,L,farm_claim,0,,,0,,,0,,,1,12.0,0
456,rod1:random,rod1,random,weak,endgame,2,6,45,W,farm_claim,0,,,0,,,0,,,1,9.0,0
466,greedy:greedy,greedy,greedy,mid,opening,55,3,31,W,farm_claim,0,,,0,,,0,,,1,12.0,0
467,greedy:greedy,greedy,greedy,mid,opening,51,5,31,W,farm_claim,0,,,0,,,0,,,1,12.0,0
465,greedy:greedy,greedy,greedy,mid,opening,59,4,31,W,farm_claim,0,,,0,,,0,,,1,15.0,0
468,greedy:greedy,greedy,greedy,mid,opening,49,3,31,W,farm_claim,0,,,0,,,0,,,1,12.0,0
471,greedy:greedy,greedy,greedy,mid,midgame,41,29,31,W,avoid_feeding,0,,,1,4.1,1,0,,,0,,
469,greedy:greedy,greedy,greedy,mid,opening,47,24,31,W,avoid_feeding,0,,,1,2.4,1,0,,,0,,
470,greedy:greedy,greedy,greedy,mid,midgame,46,3,-31,L,farm_claim,0,,,0,,,0,,,1,18.0,0
474,greedy:greedy,greedy,greedy,mid,late_mid,24,44,-31,L,avoid_feeding,0,,,1,2.0,1,0,,,0,,
472,greedy:greedy,greedy,greedy,mid,midgame,39,22,31,W,avoid_feeding,0,,,1,3.4,0,0,,,0,,
473,greedy:greedy,greedy,greedy,mid,midgame,31,38,31,W,avoid_feeding,0,,,1,2.4,0,0,,,0,,
475,greedy:greedy,greedy,greedy,mid,late_mid,22,43,-31,L,avoid_feeding,0,,,1,2.0,1,0,,,0,,
476,greedy:greedy,greedy,greedy,mid,late_mid,21,3,31,W,farm_claim,0,,,0,,,0,,,1,24.0,1
477,greedy:greedy,greedy,greedy,mid,late_mid,20,44,-31,L,avoid_feeding,0,,,1,2.0,1,0,,,0,,
482,h200:random,random,h200,mid,opening,67,8,-75,L,avoid_feeding,0,,,1,2.0,0,0,,,0,,
478,greedy:greedy,greedy,greedy,mid,late_mid,19,38,31,W,avoid_feeding,0,,,1,2.9,0,0,,,0,,
483,h200:random,random,h200,mid,opening,67,4,-75,L,farm_claim,0,,,0,,,0,,,1,9.0,1
481,greedy:greedy,greedy,greedy,mid,pre_endgame,13,5,31,W,farm_claim,0,,,0,,,0,,,1,6.0,0
484,h200:random,random,h200,mid,opening,65,12,-75,L,avoid_feeding,0,,,1,2.0,1,0,,,0,,
479,greedy:greedy,greedy,greedy,mid,late_mid,18,46,-31,L,avoid_feeding,0,,,1,2.2,1,0,,,0,,
485,h200:random,h200,random,weak,opening,62,4,75,W,farm_claim,0,,,0,,,0,,,1,6.0,1
