idx,motif,regime,seed,g,ply,seat,mover_spec,opp_spec,tile_phase,k,margin_before,legal_n,magnitude,actual_took,final_margin_mover,result_mover,take_random,take_greedy,take_h200,take_h800,take_h3200,take_h6400,take_rod1
294,MUST_BLOCK_CITY,rod1:random,1980012,12,26,1,random,rod1,TILES,59,0,14,9,0,-70,L,0,1,1,1,1,1,1
294,MUST_NOT_FEED,rod1:random,1980012,12,26,1,random,rod1,TILES,59,0,14,9,0,-70,L,0,1,1,1,1,1,1
296,MUST_PUNISH_WEAK,rod1:random,1980012,12,46,1,random,rod1,TILES,49,-23,18,8,0,-70,L,0,1,1,1,1,1,1
292,MUST_NOT_FEED,random:random,1984005,5,132,0,random,random,TILES,6,10,50,8,1,-1,L,1,1,1,1,1,1,1
299,MUST_PUNISH_WEAK,rod1:random,1980013,13,6,1,rod1,random,TILES,69,0,6,8,1,59,W,0,1,1,1,1,1,1
297,MUST_NOT_FEED,rod1:random,1980010,10,110,1,random,rod1,TILES,17,-37,47,8,0,-66,L,0,0,0,0,0,0,0
298,MUST_NOT_FEED,rod1:random,1980010,10,114,1,random,rod1,TILES,15,-37,47,8,0,-66,L,0,0,0,0,0,0,0
301,MUST_PUNISH_WEAK,rod1:random,1980014,14,11,1,random,rod1,MEEPLES,67,-4,5,9,0,-63,L,0,0,1,1,1,1,1
301,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:random,1980014,14,11,1,random,rod1,MEEPLES,67,-4,5,9,0,-63,L,0,0,1,1,1,1,1
302,MUST_PUNISH_WEAK,rod1:random,1980014,14,13,0,rod1,random,MEEPLES,66,4,4,15,1,63,W,1,0,1,1,1,1,1
302,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:random,1980014,14,13,0,rod1,random,MEEPLES,66,4,4,15,1,63,W,1,0,1,1,1,1,1
300,MUST_NOT_FEED,rod1:random,1980013,13,104,0,random,rod1,TILES,20,-26,46,15,1,-59,L,1,1,1,1,1,1,1
304,MUST_NOT_FEED,rod1:random,1980014,14,82,1,random,rod1,TILES,31,-16,32,9,0,-63,L,0,0,0,0,0,0,0
305,MUST_PUNISH_WEAK,rod1:random,1980015,15,40,0,random,rod1,TILES,52,-9,22,8,0,-69,L,0,1,1,1,1,1,1
303,MUST_NOT_FEED,rod1:random,1980014,14,66,1,random,rod1,TILES,39,-16,34,8,1,-63,L,1,1,1,1,1,1,1
306,MUST_PUNISH_WEAK,rod1:random,1980015,15,54,1,rod1,random,TILES,45,9,20,8,1,69,W,0,1,1,1,1,1,1
308,MUST_NOT_FEED,rod1:random,1980017,17,24,0,random,rod1,TILES,60,-6,16,12,1,-76,L,1,1,1,1,1,1,1
309,MUST_NOT_FEED,rod1:random,1980017,17,36,0,random,rod1,TILES,54,-6,26,13,1,-76,L,1,1,1,1,1,1,1
310,MUST_NOT_FEED,rod1:random,1980016,16,74,1,random,rod1,TILES,35,-19,35,8,1,-56,L,0,1,1,1,1,1,1
307,MUST_NOT_FEED,rod1:random,1980015,15,72,0,random,rod1,TILES,36,-24,25,8,1,-69,L,1,1,1,1,1,1,0
311,MUST_PUNISH_WEAK,rod1:random,1980016,16,80,0,rod1,random,TILES,32,19,38,16,1,56,W,1,1,1,1,1,1,1
