idx,motif,regime,seed,g,ply,seat,mover_spec,opp_spec,tile_phase,k,margin_before,legal_n,magnitude,actual_took,final_margin_mover,result_mover,take_random,take_greedy,take_h200,take_h800,take_h3200,take_h6400,take_rod1
171,MUST_PUNISH_WEAK,rod1:random,1980003,3,140,0,random,rod1,TILES,2,-61,32,8,0,-63,L,0,1,1,1,1,1,0
200,MUST_PUNISH_WEAK,greedy:greedy,1987006,6,28,0,greedy,greedy,MEEPLES,58,4,6,9,0,-10,L,0,0,1,1,1,1,1
200,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:greedy,1987006,6,28,0,greedy,greedy,MEEPLES,58,4,6,9,0,-10,L,0,0,1,1,1,1,1
196,MUST_PUNISH_WEAK,greedy:greedy,1987004,4,23,1,greedy,greedy,MEEPLES,61,0,3,9,0,-10,L,0,0,1,1,1,1,1
196,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:greedy,1987004,4,23,1,greedy,greedy,MEEPLES,61,0,3,9,0,-10,L,0,0,1,1,1,1,1
198,MUST_NOT_FEED,greedy:greedy,1987004,4,94,1,greedy,greedy,TILES,25,-11,39,10,1,-10,L,1,1,1,1,1,1,1
199,MUST_PUNISH_WEAK,rod1:random,1980007,7,22,1,rod1,random,TILES,61,0,11,16,1,53,W,0,1,1,1,1,1,1
201,MUST_PUNISH_WEAK,greedy:greedy,1987006,6,44,0,greedy,greedy,MEEPLES,50,7,3,9,0,-10,L,1,0,1,1,1,1,1
201,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:greedy,1987006,6,44,0,greedy,greedy,MEEPLES,50,7,3,9,0,-10,L,1,0,1,1,1,1,1
202,MUST_NOT_FEED,greedy:greedy,1987006,6,69,1,greedy,greedy,TILES,37,-11,34,8,1,10,W,1,1,1,1,1,1,1
204,MUST_PUNISH_WEAK,greedy:greedy,1987005,5,14,1,greedy,greedy,TILES,65,-4,21,10,1,-6,L,0,1,1,1,1,1,1
205,MUST_PUNISH_WEAK,greedy:greedy,1987005,5,44,0,greedy,greedy,TILES,50,-2,30,8,1,6,W,0,1,1,1,1,1,1
206,MUST_NOT_FEED,greedy:greedy,1987005,5,134,1,greedy,greedy,TILES,5,2,76,10,1,-6,L,1,1,1,1,1,1,1
203,MUST_NOT_FEED,greedy:greedy,1987006,6,73,1,greedy,greedy,TILES,35,-15,31,8,1,10,W,1,1,1,1,1,1,1
208,MUST_PUNISH_WEAK,greedy:greedy,1987007,7,48,0,greedy,greedy,TILES,48,5,30,16,1,25,W,1,1,1,1,1,1,1
207,MUST_NOT_FEED,greedy:greedy,1987005,5,138,1,greedy,greedy,TILES,3,2,52,10,1,-6,L,1,1,1,1,1,1,1
210,MUST_PUNISH_WEAK,greedy:greedy,1987010,10,30,1,greedy,greedy,MEEPLES,57,-2,3,9,0,46,W,1,0,1,1,1,1,1
210,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:greedy,1987010,10,30,1,greedy,greedy,MEEPLES,57,-2,3,9,0,46,W,1,0,1,1,1,1,1
211,MUST_PUNISH_WEAK,greedy:greedy,1987010,10,39,0,greedy,greedy,TILES,52,-2,20,8,1,-46,L,0,1,1,1,1,1,1
209,MUST_PUNISH_WEAK,greedy:greedy,1987007,7,114,1,greedy,greedy,TILES,15,-24,56,12,1,-25,L,0,1,1,1,1,1,1
