pass,mode,box,config,orchestrator,W,orch_shards,orch_fp16,mcts_batch,sims,n_reps,mvps_mean,mvps_std,gpu_pw_p50,gpu_util_p50,cpu_pct_p50,load_p50,bottleneck,status,selected_selfplay
full_sweep,selfplay,laptop,orch_shards=2,True,24,2,False,8,200,1,13.57,0.0,30.6,93.0,37.4,7.6,ipc_latency,ok,
full_sweep,selfplay,laptop,fp16[Ada],True,24,1,True,8,200,1,12.05,0.0,24.6,47.0,33.6,5.6,ipc_latency,ok,
full_sweep,selfplay,laptop,W=14,True,14,1,False,8,200,1,9.76,0.0,26.3,63.0,22.7,5.6,ipc_latency,ok,
full_sweep,selfplay,laptop,W=10,True,10,1,False,8,200,1,9.62,0.0,26.3,66.0,20.1,4.5,ipc_latency,ok,
full_sweep,selfplay,laptop,W=18,True,18,1,False,8,200,1,9.5,0.0,26.9,64.0,23.9,4.3,ipc_latency,ok,
full_sweep,selfplay,laptop,mcts_batch=16,True,24,1,False,16,200,1,9.39,0.0,28.0,61.0,21.7,6.8,ipc_latency,ok,
full_sweep,selfplay,laptop,W=28,True,28,1,False,8,200,1,9.22,0.0,27.6,65.0,21.8,5.0,ipc_latency,ok,
full_sweep,selfplay,laptop,W=24,True,24,1,False,8,200,1,9.17,0.0,27.6,65.0,22.6,5.6,ipc_latency,ok,
full_sweep,selfplay,laptop,timeout_ms=8.0,True,24,1,False,8,200,1,9.12,0.0,27.5,64.0,22.4,8.0,ipc_latency,ok,
full_sweep,selfplay,laptop,mcts_batch=4,True,24,1,False,4,200,1,8.86,0.0,26.2,64.0,21.7,4.5,ipc_latency,ok,
full_sweep,selfplay,laptop,timeout_ms=16.0,True,24,1,False,8,200,1,8.7,0.0,27.4,62.0,21.8,4.5,ipc_latency,ok,
full_sweep,selfplay,laptop,mcts_batch=2,True,24,1,False,2,200,1,7.3,0.0,25.7,60.0,19.3,4.4,ipc_latency,ok,
full_sweep,selfplay,laptop,mcts_batch=1,True,24,1,False,1,200,1,5.52,0.0,23.6,45.0,17.6,4.3,ipc_latency,ok,
confirm,selfplay,laptop,orch_off W=10,False,10,1,False,8,200,3,19.26,0.06,48.2,95.0,41.9,9.9,ipc_latency,ok,yes
confirm,selfplay,laptop,orch_shards=2,True,24,2,False,8,200,3,13.36,0.04,30.5,92.0,37.1,7.9,ipc_latency,ok,
confirm,selfplay,laptop,fp16[Ada],True,24,1,True,8,200,3,12.05,0.05,24.8,48.0,33.2,7.4,ipc_latency,ok,
deploy,selfplay,laptop,deploy,True,24,2,True,16,200,3,18.39,0.19,28.0,74.0,46.1,10.5,ipc_latency,ok,
full_sweep,selfplay,xeon,orch_off W=8,False,8,1,False,8,200,1,6.97,0.0,95.1,52.0,67.0,8.1,gpu_compute,ok,
full_sweep,selfplay,xeon,orch_shards=2,True,18,2,False,8,200,1,6.93,0.0,94.1,42.0,87.2,10.5,balanced,ok,yes
