[115/898] s28000000055_p118 trunc=0/9214 8.698s
[116/898] s28000000060_p46 trunc=0/10722 4.662s
[117/898] s28000000052_p126 trunc=0/10428 11.306s
[118/898] s28000000057_p112 trunc=0/10044 7.917s
[119/898] s28000000058_p124 trunc=0/8789 6.591s
[120/898] s28000000063_p34 trunc=0/9821 3.247s
[121/898] s28000000061_p77 trunc=0/9099 4.731s
[122/898] s28000000054_p117 trunc=0/9869 12.133s
[123/898] s28000000063_p51 trunc=0/10170 4.525s
[124/898] s28000000060_p100 trunc=0/10061 8.494s
[125/898] s28000000067_p22 trunc=0/10533 2.916s
[126/898] s28000000057_p135 trunc=0/5165 11.491s
[127/898] s28000000069_p11 trunc=0/10169 2.057s
[128/898] s28000000062_p89 trunc=0/9940 8.372s
[129/898] s28000000064_p104 trunc=0/8342 7.911s
[130/898] s28000000071_p10 trunc=0/10232 1.81s
[131/898] s28000000070_p30 trunc=0/10407 3.295s
[132/898] s28000000046_p137 trunc=0/10279 23.897s
[133/898] s28000000072_p4 trunc=0/10266 1.257s
[134/898] s28000000062_p96 trunc=0/9994 10.034s
[135/898] s28000000068_p83 trunc=0/10366 6.979s
[136/898] s28000000071_p11 trunc=0/10545 2.277s
[137/898] s28000000064_p136 trunc=0/9333 9.873s
[138/898] s28000000066_p85 trunc=0/9569 9.918s
[139/898] s28000000074_p20 trunc=0/10101 2.005s
[140/898] s28000000065_p143 trunc=0/24 10.76s
[141/898] s28000000066_p121 trunc=0/9688 10.712s
[142/898] s28000000070_p81 trunc=0/10001 6.957s
[143/898] s28000000073_p37 trunc=0/9669 3.926s
[144/898] s28000000067_p132 trunc=0/10917 10.276s
[145/898] s28000000065_p133 trunc=0/10334 12.908s
[146/898] s28000000078_p17 trunc=0/9996 2.214s
[147/898] s28000000080_p140 trunc=None/None 0.0005571842193603516s
[148/898] s28000000068_p124 trunc=0/10617 10.573s
[149/898] s28000000076_p52 trunc=0/10275 5.062s
[150/898] s28000000069_p124 trunc=0/8671 10.774s
[151/898] s28000000075_p82 trunc=0/8926 5.701s
[152/898] s28000000073_p76 trunc=0/10320 7.003s
[153/898] s28000000079_p62 trunc=0/8950 4.737s
[154/898] s28000000072_p95 trunc=0/9535 8.788s
[155/898] s28000000083_p8 trunc=0/10559 1.616s
[156/898] s28000000080_p26 trunc=0/10571 3.866s
[157/898] s28000000078_p66 trunc=0/10795 6.095s
[158/898] s28000000084_p11 trunc=0/10192 1.817s
[159/898] s28000000081_p55 trunc=0/10509 5.323s
[160/898] s28000000079_p68 trunc=0/10004 6.002s
[161/898] s28000000075_p101 trunc=0/10715 9.174s
[162/898] s28000000074_p103 trunc=0/10799 9.914s
[163/898] s28000000077_p110 trunc=0/9960 9.269s
[164/898] s28000000085_p30 trunc=0/9591 3.38s
[165/898] s28000000082_p57 trunc=0/9894 5.549s
[166/898] s28000000081_p80 trunc=0/10602 8.716s
[167/898] s28000000077_p130 trunc=0/10700 11.134s
[168/898] s28000000083_p94 trunc=0/7558 6.487s
[169/898] s28000000087_p29 trunc=0/10479 3.64s
[170/898] s28000000092_p1 trunc=0/10047 1.122s
[171/898] s28000000076_p136 trunc=0/10994 13.644s
[172/898] s28000000087_p60 trunc=0/10171 5.648s
[173/898] s28000000085_p96 trunc=0/9606 8.03s
[174/898] s28000000090_p52 trunc=0/9080 4.711s
[175/898] s28000000086_p102 trunc=0/10304 7.948s
[176/898] s28000000089_p56 trunc=0/10112 5.642s
[177/898] s28000000082_p114 trunc=0/9949 10.895s
[178/898] s28000000088_p76 trunc=0/10679 7.177s
[179/898] s28000000089_p76 trunc=0/9028 6.062s
[180/898] s28000000093_p25 trunc=0/10301 2.759s
[181/898] s28000000094_p19 trunc=0/10804 2.351s
[182/898] s28000000086_p107 trunc=0/9925 9.4s
[183/898] s28000000088_p102 trunc=0/10534 9.001s
[184/898] s28000000095_p18 trunc=0/9695 2.394s
[185/898] s28000000094_p24 trunc=0/10629 3.193s
[186/898] s28000000084_p143 trunc=0/16 12.518s
[187/898] s28000000092_p56 trunc=0/9512 6.005s
[188/898] s28000000096_p44 trunc=0/9574 3.837s
[189/898] s28000000091_p84 trunc=0/10176 7.711s
[190/898] s28000000091_p88 trunc=0/10711 8.196s
[191/898] s28000000097_p37 trunc=0/10475 4.024s
[192/898] s28000000090_p116 trunc=0/9875 9.135s
[193/898] s28000000102_p10 trunc=0/10044 1.733s
[194/898] s28000000099_p49 trunc=0/10036 4.072s
[195/898] s28000000096_p57 trunc=0/9734 6.249s
[196/898] s28000000101_p29 trunc=0/9721 2.935s
[197/898] s28000000103_p9 trunc=0/9851 1.869s
[198/898] s28000000098_p60 trunc=0/9160 5.922s
[199/898] s28000000093_p98 trunc=0/9795 9.323s
[200/898] s28000000095_p130 trunc=0/7408 8.441s
[201/898] s28000000105_p10 trunc=0/9946 1.987s
[202/898] s28000000100_p66 trunc=0/10172 6.049s
[203/898] s28000000102_p37 trunc=0/10169 4.236s
[204/898] s28000000105_p16 trunc=0/10311 2.366s
[205/898] s28000000104_p30 trunc=0/9664 3.131s
[206/898] s28000000106_p30 trunc=0/10237 3.721s
[207/898] s28000000097_p116 trunc=0/9584 9.851s
[208/898] s28000000100_p86 trunc=0/10603 7.617s
[209/898] s28000000099_p120 trunc=0/9820 8.752s
[210/898] s28000000107_p24 trunc=0/10381 3.218s
[211/898] s28000000101_p103 trunc=0/10836 7.5s
[212/898] s28000000103_p71 trunc=0/9835 7.319s
[213/898] s28000000098_p125 trunc=0/8941 11.56s
[214/898] s28000000104_p91 trunc=0/9711 7.513s
