1785380725 65.94 5.70 2
1785380730 67.60 5.88 2
1785380736 67.14 6.15 2
1785380741 66.82 6.30 2
1785380746 66.79 6.76 2
1785380751 66.29 7.18 2
1785380756 66.10 7.48 2
1785380761 68.03 7.68 2
1785380766 65.17 7.79 2
1785380771 66.29 7.57 2
1785380776 63.49 7.76 2
1785380781 65.37 7.86 2
1785380787 66.76 8.03 2
1785380792 65.74 7.55 2
1785380797 64.64 7.02 2
1785380802 66.98 7.18 2
1785380807 65.88 7.25 2
1785380812 65.95 7.15 2
1785380817 67.07 6.98 2
1785380822 66.85 7.06 2
1785380827 65.30 7.29 2
1785380832 66.06 7.11 2
1785380837 66.66 6.78 2
1785380842 65.81 6.40 2
1785380848 66.93 6.61 2
1785380853 65.90 6.80 2
1785380858 65.44 6.25 2
1785380863 65.03 6.39 2
1785380868 65.96 6.52 2
1785380873 66.22 6.96 2
1785380878 65.12 6.88 2
1785380883 66.10 7.05 2
1785380888 64.04 7.37 2
1785380893 65.64 7.42 2
1785380899 64.67 7.63 2
1785380904 64.26 7.74 2
1785380909 66.29 8.08 2
1785380914 66.33 7.91 2
1785380919 65.13 7.68 2
1785380924 65.44 7.54 2
1785380929 65.58 7.82 2
1785380934 65.03 7.52 2
1785380939 65.77 7.47 2
1785380944 65.00 7.36 2
1785380949 64.87 7.73 2
1785380955 65.95 7.59 2
1785380960 66.44 7.86 2
1785380965 66.30 7.87 2
1785380970 65.04 8.20 2
1785380975 66.24 8.19 2
1785380980 64.78 8.09 2
1785380985 66.30 7.92 2
1785380990 64.14 7.85 2
1785380995 64.33 7.62 2
1785381000 64.01 7.57 2
1785381005 64.39 7.85 2
1785381010 65.25 8.02 2
1785381016 64.60 8.10 2
1785381021 62.61 8.01 2
1785381026 62.71 8.54 2
1785381031 63.42 8.34 2
1785381036 63.02 8.55 2
1785381041 62.71 8.67 2
1785381046 62.86 8.62 2
1785381051 64.97 8.57 2
1785381056 65.29 8.44 2
1785381061 63.67 8.00 2
1785381066 65.42 7.84 2
1785381072 66.25 7.70 2
1785381077 64.59 8.04 2
1785381082 64.45 7.88 2
1785381087 65.18 7.73 2
1785381092 64.62 8.15 2
1785381097 63.76 8.46 2
