matchup,ckpt_a,ckpt_b,leaf_both,sims,c_puct,residual_scale,n,W,D,L,winrate,elo,elo_1sig,paired_mean_diff,paired_z,z_margin,a_seat0_wr,a_seat1_wr,seed_start,signal,manifest
RoD_iter_01_vs_ITER8_V28_PARENT_pilot,rod_v28_continuation/ckpt/iter_01.pt,flywheel_residual_attempt2/ckpt/iter8.pt,v2.8(meeple_k=2.0),200,3.0,0.25,200,118,4,78,0.600,70.4,25.1,4.325,2.906,2.577,0.570,0.630,1922000000,VERDICT-RANGE,v28_rod_probe/nvn_iter_01_mk20_vs_iter8_mk20_s200_rs025/manifest.json
RoD_iter_01_vs_ITER8_V28_PARENT_confirm,rod_v28_continuation/ckpt/iter_01.pt,flywheel_residual_attempt2/ckpt/iter8.pt,v2.8(meeple_k=2.0),200,3.0,0.25,400,227,7,166,0.5763,53.4,17.6,3.675,3.515,3.043,0.5625,0.590,1922000000,VERDICT-RANGE,v28_rod_probe/nvn_iter_01_mk20_vs_iter8_mk20_s200_rs025/manifest.json
