matchup,agent_a,agent_b,leaf_both,a_sims,heur_sims,c_puct,residual_scale,n,W,D,L,winrate,elo_winrate,elo_1sig,paired_score_margin,paired_z,seed_start,manifest,note
RoD_iter_01_vs_heur3200_v28_pilot,RoD_iter_01(neural@200),heur@3200,v2.8(meeple_k=2.0),200,3200,3.0,0.25,200,107,3,90,0.542,29.6,24.7,1.80,1.17,1922100000,v28_rod_probe/rod_iter01_vs_heur3200_v28,n=200 up-fluctuation
RoD_iter_01_vs_heur3200_v28_n800,RoD_iter_01(neural@200),heur@3200,v2.8(meeple_k=2.0),200,3200,3.0,0.25,800,412,14,374,0.524,16.5,12.3,-0.36,-0.47,1922100000,v28_rod_probe/rod_iter01_vs_heur3200_v28,FIRMED: TIE (winrate +16.5/z1.34 but paired score margin -0.36/z-0.47); RoD reached PARITY with deep heuristic search at equal leaf, does NOT exceed it
ITER8_V28_PARENT_vs_heur3200_v28_ANCHOR,iter8(neural@200),heur@3200,v2.8(meeple_k=2.0),200,3200,3.0,0.25,200,,,,,-38.4,,,-1.56,,measurement/heuristic_v28 battery iter8_v28_vs_heur3200_v28_n200,the frozen-parent anchor RoD is compared against
