case_id,dataset,position_id,k,band,source,n_legal,gap,v27_choice,ref_choice,ref_kind,v27_q,ref_q,v27_eval,ref_eval,mechanism_raw,failure_class,candidate_patch,leaf_addressable,also_iter8_miss,raw_path
mid::iter8_s3501000036_K10,midgame,iter8_s3501000036_K10,10,pre_endgame,iter8,34,0.0,844,847,teacher(heur@3200),0.25818,0.2582,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
end::heur3200_s3502000036_k4,endgame,heur3200_s3502000036_k4,4,endgame,heur@3200_selfplay,35,0.0,-17,1033,exact/heur@3200,,,-17,-17,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000036_k4.json
end::iter8_s3501000033_k4,endgame,iter8_s3501000033_k4,4,endgame,iter8_selfplay,44,12.0,9,,exact/heur@3200,,,9,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000033_k4.json
end::greedy_s3500000008_k4,endgame,greedy_s3500000008_k4,4,endgame,greedy_selfplay,42,9.0,26,1527,exact/heur@3200,,,26,32,completion|v2.7-rankable,completion-timing,completion_timing_v1,yes,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000008_k4.json
end::hybrid_8_3200_s3503000027_k4,endgame,hybrid_8_3200_s3503000027_k4,4,endgame,hybrid:8:3200_selfplay,28,11.0,-74,1460,exact/heur@3200,,,-74,-73,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000027_k4.json
end::hybrid_8_3200_s3503000015_k4,endgame,hybrid_8_3200_s3503000015_k4,4,endgame,hybrid:8:3200_selfplay,60,0.0,25,1360,exact/heur@3200,,,25,25,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000015_k4.json
end::iter8_s3501000009_k4,endgame,iter8_s3501000009_k4,4,endgame,iter8_selfplay,43,3.0,32,,exact/heur@3200,,,32,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000009_k4.json
end::greedy_s3500000032_k4,endgame,greedy_s3500000032_k4,4,endgame,greedy_selfplay,49,3.0,-10,,exact/heur@3200,,,-10,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000032_k4.json
end::heur3200_s3502000028_k4,endgame,heur3200_s3502000028_k4,4,endgame,heur@3200_selfplay,48,9.0,5,,exact/heur@3200,,,5,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000028_k4.json
end::g3200000129_k2,endgame,g3200000129_k2,2,endgame,greedy_selfplay,76,,19,1362,exact/heur@3200,,,19,19,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000129_k2.json
end::heur3200_s3502000034_k4,endgame,heur3200_s3502000034_k4,4,endgame,heur@3200_selfplay,46,0.0,11,,exact/heur@3200,,,11,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000034_k4.json
end::greedy_s3500000018_k4,endgame,greedy_s3500000018_k4,4,endgame,greedy_selfplay,50,8.0,-15,,exact/heur@3200,,,-15,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000018_k4.json
end::greedy_s3500000009_k4,endgame,greedy_s3500000009_k4,4,endgame,greedy_selfplay,24,0.0,-10,,exact/heur@3200,,,-10,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000009_k4.json
end::g3200000022_k2,endgame,g3200000022_k2,2,endgame,greedy_selfplay,50,,25,1653,exact/heur@3200,,,25,31,structural-or-farm|v2.7-rankable,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000022_k2.json
end::g3200000022_k3,endgame,g3200000022_k3,3,endgame,greedy_selfplay,36,,-23,,exact/heur@3200,,,-23,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_regret/g3200000022_k3.json
end::g3200000059_k3,endgame,g3200000059_k3,3,endgame,greedy_selfplay,50,,0,,exact/heur@3200,,,0,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_regret/g3200000059_k3.json
end::g3200000075_k3,endgame,g3200000075_k3,3,endgame,greedy_selfplay,28,,8,1680,exact/heur@3200,,,8,9,completion|beyond-v2.7,completion-timing,completion_timing_v1,yes,True,/mnt/c/carc-shared/l23_regret/g3200000075_k3.json
end::hybrid_8_3200_s3503000022_k4,endgame,hybrid_8_3200_s3503000022_k4,4,endgame,hybrid:8:3200_selfplay,34,0.0,8,,exact/heur@3200,,,8,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000022_k4.json
end::greedy_s3500000016_k4,endgame,greedy_s3500000016_k4,4,endgame,greedy_selfplay,37,3.0,19,1834,exact/heur@3200,,,19,20,completion|beyond-v2.7,completion-timing,completion_timing_v1,yes,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000016_k4.json
end::heur3200_s3502000031_k4,endgame,heur3200_s3502000031_k4,4,endgame,heur@3200_selfplay,29,5.0,17,,exact/heur@3200,,,17,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000031_k4.json
end::g3200000092_k2,endgame,g3200000092_k2,2,endgame,greedy_selfplay,71,,19,742,exact/heur@3200,,,19,15,structural-or-farm|iter8-move-v2.7-preferred,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000092_k2.json
end::greedy_s3500000007_k4,endgame,greedy_s3500000007_k4,4,endgame,greedy_selfplay,44,1.0,-2,1426,exact/heur@3200,,,-2,-3,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000007_k4.json
end::greedy_s3500000002_k4,endgame,greedy_s3500000002_k4,4,endgame,greedy_selfplay,72,4.0,-1,,exact/heur@3200,,,-1,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000002_k4.json
end::heur3200_s3502000010_k4,endgame,heur3200_s3502000010_k4,4,endgame,heur@3200_selfplay,53,3.0,-15,1069,exact/heur@3200,,,-15,-14,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000010_k4.json
end::heur3200_s3502000045_k4,endgame,heur3200_s3502000045_k4,4,endgame,heur@3200_selfplay,44,3.0,1,,exact/heur@3200,,,1,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000045_k4.json
end::hybrid_8_3200_s3503000004_k4,endgame,hybrid_8_3200_s3503000004_k4,4,endgame,hybrid:8:3200_selfplay,37,2.0,-6,,exact/heur@3200,,,-6,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000004_k4.json
end::iter8_s3501000048_k4,endgame,iter8_s3501000048_k4,4,endgame,iter8_selfplay,21,4.0,16,,exact/heur@3200,,,16,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000048_k4.json
end::g3200000099_k2,endgame,g3200000099_k2,2,endgame,greedy_selfplay,47,,-3,976,exact/heur@3200,,,-3,-3,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000099_k2.json
end::g3200000121_k2,endgame,g3200000121_k2,2,endgame,greedy_selfplay,24,,1,1378,exact/heur@3200,,,1,1,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000121_k2.json
end::g3200000011_k3,endgame,g3200000011_k3,3,endgame,greedy_selfplay,47,,27,847,exact/heur@3200,,,27,27,completion|beyond-v2.7,completion-timing,completion_timing_v1,yes,True,/mnt/c/carc-shared/l23_regret/g3200000011_k3.json
end::g3200000023_k3,endgame,g3200000023_k3,3,endgame,greedy_selfplay,32,,-13,,exact/heur@3200,,,-13,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_regret/g3200000023_k3.json
end::g3200000032_k3,endgame,g3200000032_k3,3,endgame,greedy_selfplay,44,,-4,1936,exact/heur@3200,,,-4,-2,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000032_k3.json
end::greedy_s3500000021_k4,endgame,greedy_s3500000021_k4,4,endgame,greedy_selfplay,35,1.0,2,,exact/heur@3200,,,2,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000021_k4.json
end::hybrid_8_3200_s3503000014_k4,endgame,hybrid_8_3200_s3503000014_k4,4,endgame,hybrid:8:3200_selfplay,31,1.0,-28,1645,exact/heur@3200,,,-28,-28,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000014_k4.json
end::hybrid_8_3200_s3503000031_k4,endgame,hybrid_8_3200_s3503000031_k4,4,endgame,hybrid:8:3200_selfplay,62,1.0,49,1375,exact/heur@3200,,,49,52,structural-or-farm|v2.7-rankable,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000031_k4.json
end::greedy_s3500000005_k4,endgame,greedy_s3500000005_k4,4,endgame,greedy_selfplay,33,2.0,-5,1353,exact/heur@3200,,,-5,-4,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000005_k4.json
end::hybrid_8_3200_s3503000035_k4,endgame,hybrid_8_3200_s3503000035_k4,4,endgame,hybrid:8:3200_selfplay,47,3.0,-4,,exact/heur@3200,,,-4,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000035_k4.json
end::hybrid_8_3200_s3503000042_k4,endgame,hybrid_8_3200_s3503000042_k4,4,endgame,hybrid:8:3200_selfplay,43,3.0,2,,exact/heur@3200,,,2,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000042_k4.json
end::iter8_s3501000038_k4,endgame,iter8_s3501000038_k4,4,endgame,iter8_selfplay,63,3.0,-17,,exact/heur@3200,,,-17,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000038_k4.json
end::iter8_s3501000045_k4,endgame,iter8_s3501000045_k4,4,endgame,iter8_selfplay,37,2.0,6,,exact/heur@3200,,,6,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000045_k4.json
end::g3200000004_k2,endgame,g3200000004_k2,2,endgame,greedy_selfplay,75,,7,944,exact/heur@3200,,,7,7,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000004_k2.json
end::g3200000103_k2,endgame,g3200000103_k2,2,endgame,greedy_selfplay,40,,-21,829,exact/heur@3200,,,-21,-21,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000103_k2.json
end::g3200000111_k2,endgame,g3200000111_k2,2,endgame,greedy_selfplay,37,,-32,1460,exact/heur@3200,,,-32,-36,structural-or-farm|iter8-move-v2.7-preferred,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000111_k2.json
end::g3200000127_k2,endgame,g3200000127_k2,2,endgame,greedy_selfplay,57,,17,840,exact/heur@3200,,,17,15,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000127_k2.json
end::g3200000045_k3,endgame,g3200000045_k3,3,endgame,greedy_selfplay,44,,10,,exact/heur@3200,,,10,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_regret/g3200000045_k3.json
end::g3200000083_k3,endgame,g3200000083_k3,3,endgame,greedy_selfplay,58,,21,943,exact/heur@3200,,,21,24,structural-or-farm|v2.7-rankable,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000083_k3.json
end::greedy_s3500000001_k4,endgame,greedy_s3500000001_k4,4,endgame,greedy_selfplay,22,0.0,-41,1660,exact/heur@3200,,,-41,-39,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000001_k4.json
end::greedy_s3500000029_k4,endgame,greedy_s3500000029_k4,4,endgame,greedy_selfplay,17,0.0,-4,,exact/heur@3200,,,-4,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000029_k4.json
end::greedy_s3500000037_k4,endgame,greedy_s3500000037_k4,4,endgame,greedy_selfplay,40,0.0,3,1068,exact/heur@3200,,,3,5,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000037_k4.json
end::heur3200_s3502000016_k4,endgame,heur3200_s3502000016_k4,4,endgame,heur@3200_selfplay,52,0.0,12,1145,exact/heur@3200,,,12,20,structural-or-farm|v2.7-rankable,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000016_k4.json
end::heur3200_s3502000020_k4,endgame,heur3200_s3502000020_k4,4,endgame,heur@3200_selfplay,29,1.0,0,,exact/heur@3200,,,0,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000020_k4.json
end::hybrid_8_3200_s3503000024_k4,endgame,hybrid_8_3200_s3503000024_k4,4,endgame,hybrid:8:3200_selfplay,33,1.0,8,1379,exact/heur@3200,,,8,8,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000024_k4.json
end::iter8_s3501000014_k4,endgame,iter8_s3501000014_k4,4,endgame,iter8_selfplay,46,1.0,-14,837,exact/heur@3200,,,-14,-14,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000014_k4.json
end::iter8_s3501000022_k4,endgame,iter8_s3501000022_k4,4,endgame,iter8_selfplay,35,0.0,18,,exact/heur@3200,,,18,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000022_k4.json
end::iter8_s3501000042_k4,endgame,iter8_s3501000042_k4,4,endgame,iter8_selfplay,44,0.0,34,845,exact/heur@3200,,,34,34,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000042_k4.json
end::greedy_s3500000035_k4,endgame,greedy_s3500000035_k4,4,endgame,greedy_selfplay,62,2.0,-11,,exact/heur@3200,,,-11,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000035_k4.json
end::hybrid_8_3200_s3503000002_k4,endgame,hybrid_8_3200_s3503000002_k4,4,endgame,hybrid:8:3200_selfplay,21,2.0,-24,,exact/heur@3200,,,-24,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000002_k4.json
end::hybrid_8_3200_s3503000007_k4,endgame,hybrid_8_3200_s3503000007_k4,4,endgame,hybrid:8:3200_selfplay,34,2.0,8,,exact/heur@3200,,,8,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000007_k4.json
end::hybrid_8_3200_s3503000011_k4,endgame,hybrid_8_3200_s3503000011_k4,4,endgame,hybrid:8:3200_selfplay,47,2.0,35,,exact/heur@3200,,,35,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000011_k4.json
end::g3200000011_k2,endgame,g3200000011_k2,2,endgame,greedy_selfplay,48,,-27,940,exact/heur@3200,,,-27,-26,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000011_k2.json
end::g3200000034_k2,endgame,g3200000034_k2,2,endgame,greedy_selfplay,53,,36,833,exact/heur@3200,,,36,38,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000034_k2.json
end::g3200000073_k2,endgame,g3200000073_k2,2,endgame,greedy_selfplay,46,,42,1221,exact/heur@3200,,,42,40,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000073_k2.json
end::g3200000074_k2,endgame,g3200000074_k2,2,endgame,greedy_selfplay,46,,19,1049,exact/heur@3200,,,19,19,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000074_k2.json
end::g3200000090_k2,endgame,g3200000090_k2,2,endgame,greedy_selfplay,45,,9,640,exact/heur@3200,,,9,6,structural-or-farm|iter8-move-v2.7-preferred,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000090_k2.json
end::g3200000095_k2,endgame,g3200000095_k2,2,endgame,greedy_selfplay,33,,8,736,exact/heur@3200,,,8,10,completion|beyond-v2.7,completion-timing,completion_timing_v1,yes,True,/mnt/c/carc-shared/l23_regret/g3200000095_k2.json
end::g3200000130_k2,endgame,g3200000130_k2,2,endgame,greedy_selfplay,44,,-4,1169,exact/heur@3200,,,-4,-9,structural-or-farm|iter8-move-v2.7-preferred,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000130_k2.json
end::g3200000141_k2,endgame,g3200000141_k2,2,endgame,greedy_selfplay,64,,-5,1324,exact/heur@3200,,,-5,-4,completion|beyond-v2.7,completion-timing,completion_timing_v1,yes,True,/mnt/c/carc-shared/l23_regret/g3200000141_k2.json
end::g3200000005_k3,endgame,g3200000005_k3,3,endgame,greedy_selfplay,50,,3,,exact/heur@3200,,,3,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_regret/g3200000005_k3.json
end::g3200000008_k3,endgame,g3200000008_k3,3,endgame,greedy_selfplay,31,,-40,,exact/heur@3200,,,-40,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_regret/g3200000008_k3.json
end::g3200000009_k3,endgame,g3200000009_k3,3,endgame,greedy_selfplay,21,,13,,exact/heur@3200,,,13,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_regret/g3200000009_k3.json
end::g3200000020_k3,endgame,g3200000020_k3,3,endgame,greedy_selfplay,35,,12,,exact/heur@3200,,,12,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_regret/g3200000020_k3.json
end::g3200000030_k3,endgame,g3200000030_k3,3,endgame,greedy_selfplay,59,,1,754,exact/heur@3200,,,1,1,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000030_k3.json
end::g3200000039_k3,endgame,g3200000039_k3,3,endgame,greedy_selfplay,44,,19,,exact/heur@3200,,,19,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_regret/g3200000039_k3.json
end::g3200000074_k3,endgame,g3200000074_k3,3,endgame,greedy_selfplay,46,,-18,,exact/heur@3200,,,-18,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_regret/g3200000074_k3.json
end::g3200000076_k3,endgame,g3200000076_k3,3,endgame,greedy_selfplay,29,,-19,,exact/heur@3200,,,-19,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_regret/g3200000076_k3.json
end::greedy_s3500000013_k4,endgame,greedy_s3500000013_k4,4,endgame,greedy_selfplay,40,1.0,24,,exact/heur@3200,,,24,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000013_k4.json
end::greedy_s3500000038_k4,endgame,greedy_s3500000038_k4,4,endgame,greedy_selfplay,30,0.0,-4,,exact/heur@3200,,,-4,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000038_k4.json
end::greedy_s3500000044_k4,endgame,greedy_s3500000044_k4,4,endgame,greedy_selfplay,56,0.0,-30,1062,exact/heur@3200,,,-30,-29,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000044_k4.json
end::heur3200_s3502000009_k4,endgame,heur3200_s3502000009_k4,4,endgame,heur@3200_selfplay,27,0.0,9,,exact/heur@3200,,,9,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000009_k4.json
end::heur3200_s3502000029_k4,endgame,heur3200_s3502000029_k4,4,endgame,heur@3200_selfplay,20,0.0,-10,,exact/heur@3200,,,-10,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000029_k4.json
end::heur3200_s3502000042_k4,endgame,heur3200_s3502000042_k4,4,endgame,heur@3200_selfplay,30,0.0,14,750,exact/heur@3200,,,14,14,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000042_k4.json
end::hybrid_8_3200_s3503000005_k4,endgame,hybrid_8_3200_s3503000005_k4,4,endgame,hybrid:8:3200_selfplay,28,0.0,9,,exact/heur@3200,,,9,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000005_k4.json
end::hybrid_8_3200_s3503000012_k4,endgame,hybrid_8_3200_s3503000012_k4,4,endgame,hybrid:8:3200_selfplay,50,0.0,7,,exact/heur@3200,,,7,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000012_k4.json
end::hybrid_8_3200_s3503000045_k4,endgame,hybrid_8_3200_s3503000045_k4,4,endgame,hybrid:8:3200_selfplay,57,0.0,4,841,exact/heur@3200,,,4,4,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000045_k4.json
end::iter8_s3501000012_k4,endgame,iter8_s3501000012_k4,4,endgame,iter8_selfplay,51,0.0,-28,,exact/heur@3200,,,-28,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000012_k4.json
end::iter8_s3501000015_k4,endgame,iter8_s3501000015_k4,4,endgame,iter8_selfplay,39,0.0,-5,,exact/heur@3200,,,-5,,no-stronger-ref(both-miss)|no-stronger-ref(both-miss),search-horizon(both-miss),NONE(search-horizon),no,True,/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000015_k4.json
end::g3200000009_k2,endgame,g3200000009_k2,2,endgame,greedy_selfplay,66,,-13,1717,exact/heur@3200,,,-13,-12,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000009_k2.json
end::g3200000014_k2,endgame,g3200000014_k2,2,endgame,greedy_selfplay,46,,14,753,exact/heur@3200,,,14,14,structural-or-farm|beyond-v2.7,farm-final-scoring/structural,farm_final_value_v1,partial,True,/mnt/c/carc-shared/l23_regret/g3200000014_k2.json
