case_id,dataset,position_id,k,band,source,n_legal,gap,v27_choice,ref_choice,ref_kind,v27_q,ref_q,v27_eval,ref_eval,mechanism_raw,failure_class,candidate_patch,leaf_addressable,also_iter8_miss,raw_path
mid::greedy_s3500000023_K16,midgame,greedy_s3500000023_K16,16,late_mid,greedy,54,0.0001,745,1226,teacher(heur@3200),0.98872,0.98897,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000001_K16,midgame,heur3200_s3502000001_K16,16,late_mid,heur@3200,30,0.0001,838,839,teacher(heur@3200),0.97417,0.97445,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,True,
mid::heur3200_s3502000043_K16,midgame,heur3200_s3502000043_K16,16,late_mid,heur@3200,44,0.0001,736,1264,teacher(heur@3200),-0.87801,-0.87722,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000001_K16,midgame,hybrid_8_3200_s3503000001_K16,16,late_mid,hybrid:8:3200,34,0.0001,1368,1657,teacher(heur@3200),0.95371,0.95395,,,meeple-economy,meeple-economy,meeple_economy_v1,yes,True,
mid::hybrid_8_3200_s3503000017_K16,midgame,hybrid_8_3200_s3503000017_K16,16,late_mid,hybrid:8:3200,16,0.0001,1464,1656,teacher(heur@3200),-0.39349,-0.39343,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000024_K16,midgame,hybrid_8_3200_s3503000024_K16,16,late_mid,hybrid:8:3200,88,0.0001,756,1632,teacher(heur@3200),0.29856,0.29867,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000032_K16,midgame,hybrid_8_3200_s3503000032_K16,16,late_mid,hybrid:8:3200,33,0.0001,544,1137,teacher(heur@3200),0.98557,0.98608,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::iter8_s3501000000_K16,midgame,iter8_s3501000000_K16,16,late_mid,iter8,32,0.0001,754,1338,teacher(heur@3200),-0.58413,-0.58115,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,True,
mid::iter8_s3501000025_K16,midgame,iter8_s3501000025_K16,16,late_mid,iter8,16,0.0,660,1844,teacher(heur@3200),0.90251,0.90267,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,False,
mid::greedy_s3500000018_K10,midgame,greedy_s3500000018_K10,10,pre_endgame,greedy,51,0.0001,836,1440,teacher(heur@3200),-0.69997,-0.69938,,,meeple-economy,meeple-economy,meeple_economy_v1,yes,True,
