k_dets,sims_per_det,total_sims,mode,workers,worlds_per_worker,n_moves,mean_s_per_move,p90_s_per_move,median_s_per_move,speedup_vs_sequential_mean,speedup_vs_sequential_p90,transport_ms_per_move,actions_match_sequential
4,688,2752,sequential,,,30,3.227641599133335,4.0356873545,3.1333873804999968,,,,
4,688,2752,parallel_w2,2,2,30,1.8633995458999986,2.26015469999999,1.8589771035000098,1.7321253545623383,1.7855801439167054,5.623443533332306,True
4,688,2752,parallel_w4,4,1,30,1.0200304188000027,1.3393808977000219,0.9906992510000094,3.1642601432714517,3.013099082889761,6.341950533335232,True
8,1376,11008,sequential,,,30,13.755223438500009,16.78329771759999,13.636915574999989,,,,
8,1376,11008,parallel_w4,4,2,30,3.8247274589333338,4.578349818800018,3.8763129229999436,3.596393098904924,3.665796276353317,5.988652566664617,True
8,1376,11008,parallel_w8,8,1,30,2.159484341500005,2.6166535253000123,2.124361307000072,6.369679637938684,6.414031340154483,7.242082833325488,True
