selector,scope,n,top1,top3,q_regret,regret_cov
v2.7-static(label),v27!=teacher|n=520,520,0.0,,0.0217,1.0
heur@800(shallow-teacher),v27!=teacher|n=520,520,0.4615,,0.0026,1.0
immediate-score(forced-net),v27!=teacher|n=520,520,0.0192,0.9827,0.0492,1.0
score-diff-after,v27!=teacher|n=520,520,0.0192,0.9827,0.0492,1.0
meeple-recovery,v27!=teacher|n=520,520,0.0192,0.9885,0.0505,1.0
best-meeple(incl-claim),v27!=teacher|n=520,520,0.0288,0.9519,0.048,1.0
completion-then-score,v27!=teacher|n=520,520,0.0231,0.95,0.0609,1.0
open-edge-progress,v27!=teacher|n=520,520,0.0231,0.7385,0.0606,1.0
bag-aware-closure,v27!=teacher|n=520,520,0.0231,0.7173,0.0613,1.0
composite-simple,v27!=teacher|n=520,520,0.0404,0.7327,0.052,1.0
v2.7-static(depth0),v27!=teacher|n=520,520,0.0,0.9308,0.0217,1.0
composite-v2.7+delta,v27!=teacher|n=520,520,0.0481,0.8231,0.0219,1.0
random,shallow!=deep|n=342,342,0.0263,,0.048,0.865
iter8(MCTS@200),shallow!=deep|n=342,342,0.2018,,0.0059,1.0
iter8(policy-prior),shallow!=deep|n=342,342,0.1316,,0.0282,0.997
v2.7-static(label),shallow!=deep|n=342,342,0.1813,,0.0083,1.0
heur@800(shallow-teacher),shallow!=deep|n=342,342,0.0,,0.0046,1.0
immediate-score(forced-net),shallow!=deep|n=342,342,0.076,0.9883,0.0389,1.0
score-diff-after,shallow!=deep|n=342,342,0.076,0.9883,0.0389,1.0
meeple-recovery,shallow!=deep|n=342,342,0.0731,0.9883,0.0402,1.0
best-meeple(incl-claim),shallow!=deep|n=342,342,0.0731,0.9737,0.039,1.0
completion-then-score,shallow!=deep|n=342,342,0.0702,0.962,0.0511,1.0
open-edge-progress,shallow!=deep|n=342,342,0.0556,0.7339,0.0534,1.0
bag-aware-closure,shallow!=deep|n=342,342,0.0556,0.7076,0.0532,1.0
composite-simple,shallow!=deep|n=342,342,0.0877,0.7251,0.0405,1.0
v2.7-static(depth0),shallow!=deep|n=342,342,0.1813,0.9678,0.0083,1.0
composite-v2.7+delta,shallow!=deep|n=342,342,0.1754,0.8363,0.0091,1.0
random,n_legal<=20|n=144,144,0.0972,,0.0821,0.826
iter8(MCTS@200),n_legal<=20|n=144,144,0.5972,,0.0066,1.0
iter8(policy-prior),n_legal<=20|n=144,144,0.3681,,0.0399,1.0
v2.7-static(label),n_legal<=20|n=144,144,0.4792,,0.0179,1.0
heur@800(shallow-teacher),n_legal<=20|n=144,144,0.7847,,0.0018,1.0
immediate-score(forced-net),n_legal<=20|n=144,144,0.1528,0.9792,0.0771,1.0
score-diff-after,n_legal<=20|n=144,144,0.1528,0.9792,0.0771,1.0
meeple-recovery,n_legal<=20|n=144,144,0.1458,0.9861,0.0845,1.0
best-meeple(incl-claim),n_legal<=20|n=144,144,0.1528,0.9444,0.0738,1.0
completion-then-score,n_legal<=20|n=144,144,0.1528,0.9444,0.0942,1.0
open-edge-progress,n_legal<=20|n=144,144,0.1181,0.6736,0.1003,1.0
bag-aware-closure,n_legal<=20|n=144,144,0.1181,0.6389,0.101,1.0
composite-simple,n_legal<=20|n=144,144,0.2083,0.6875,0.0763,1.0
v2.7-static(depth0),n_legal<=20|n=144,144,0.4792,0.9792,0.0179,1.0
composite-v2.7+delta,n_legal<=20|n=144,144,0.4653,0.8889,0.0217,1.0
random,n_legal>=40|n=275,275,0.0182,,0.0801,0.793
iter8(MCTS@200),n_legal>=40|n=275,275,0.4036,,0.0101,1.0
iter8(policy-prior),n_legal>=40|n=275,275,0.2255,,0.034,1.0
v2.7-static(label),n_legal>=40|n=275,275,0.4509,,0.0111,1.0
heur@800(shallow-teacher),n_legal>=40|n=275,275,0.6,,0.0016,1.0
immediate-score(forced-net),n_legal>=40|n=275,275,0.1127,0.9927,0.0533,1.0
score-diff-after,n_legal>=40|n=275,275,0.1127,0.9927,0.0533,1.0
meeple-recovery,n_legal>=40|n=275,275,0.1055,0.9927,0.0557,1.0
best-meeple(incl-claim),n_legal>=40|n=275,275,0.1164,0.9782,0.0521,1.0
completion-then-score,n_legal>=40|n=275,275,0.1127,0.9855,0.0583,1.0
open-edge-progress,n_legal>=40|n=275,275,0.0655,0.8727,0.0735,1.0
bag-aware-closure,n_legal>=40|n=275,275,0.0691,0.8727,0.0717,1.0
composite-simple,n_legal>=40|n=275,275,0.1418,0.8727,0.0533,1.0
v2.7-static(depth0),n_legal>=40|n=275,275,0.4509,0.9527,0.0111,1.0
composite-v2.7+delta,n_legal>=40|n=275,275,0.4545,0.9018,0.011,1.0
