1787009181223 -405468 3737031
1787009182359 -678125 3738906
1787009183525 -575000 3744609
1787009184661 -480468 3742265
1787009185798 -297656 3748515
1787009186930 -236718 3748359
1787009188062 -430468 3747968
1787009189213 -665625 3746718
1787009190371 -628125 3746718
1787009191520 -212500 3753906
1787009192686 -457031 3742968
1787009193837 -799218 3745234
1787009195013 -421093 3746875
1787009196224 -315625 3753046
1787009197351 -273437 3754375
1787009198500 -283593 3754765
1787009199638 -443750 3741171
1787009200757 -796093 3740312
1787009201875 -291406 3746875
1787009202990 -450000 3744453
1787009204120 -606250 3737578
1787009205337 -359375 3743125
1787009206471 -357031 3748906
1787009207625 -497656 3749921
1787009208779 -928125 3747578
1787009209926 -344531 3746328
1787009211052 -263281 3751562
1787009212172 -368750 3751562
1787009213267 -278906 3743828
1787009214409 -479687 3744375
1787009215541 -485937 3745078
1787009216643 -582812 3743359
1787009217793 -621093 3746875
1787009218928 -501562 3743515
1787009220088 -237500 3752578
1787009221229 -800781 3743750
1787009222389 -214062 3746796
1787009223559 -285156 3751718
1787009224715 -856250 3748046
1787009225869 -585156 3748906
1787009226997 -500781 3745859
1787009228160 -659375 3746875
1787009229321 -778906 3744687
1787009230474 -408593 3743437
1787009231646 -304687 3746875
1787009232778 -264062 3749687
1787009233954 -191406 3750078
1787009235116 -797656 3748515
1787009236275 -218750 3750781
1787009237429 -465625 3751796
1787009238592 -485156 3750078
1787009239749 -336718 3752656
1787009240923 -253906 3754218
1787009242106 -392968 3748750
1787009243269 -232031 3750234
1787009244434 -337500 3755312
1787009245585 -1204687 3680859
1787009246728 -920312 3673906
1787009247793 -2517187 3617343
1787009248863 -1268750 3644687
1787009249949 -2204687 3622734
1787009251092 -2488281 3610703
1787009252244 -2167968 3657031
1787009253438 -2484375 3635000
1787009254610 -2207812 3635156
1787009255693 -2642187 3621406
1787009256823 -2250781 3638750
1787009257964 -1887500 3631718
1787009259087 -2246875 3631875
1787009260152 -2267968 3652968
1787009261229 -2181250 3637109
1787009262289 -2411718 3624296
1787009263407 -2757031 3602343
1787009264490 -1728125 3654843
1787009265591 -1910156 3622265
1787009266752 -2050000 3624453
1787009267880 -2733593 3616875
1787009268989 -1911718 3644140
1787009270083 -538281 3703828
1787009271202 -378906 3714453
1787009272345 -630468 3721406
1787009273471 -314062 3730468
1787009274592 -520312 3710625
1787009275734 -999218 3724921
1787009276860 -496093 3727421
1787009277995 -291406 3733671
1787009279117 -489062 3721093
1787009280260 -434375 3730468
1787009281415 -273437 3740781
1787009282592 -598437 3738203
1787009283753 -286718 3740000
1787009284935 -302343 3739921
1787009286082 -335156 3741484
1787009287210 -564062 3735625
1787009288330 -553906 3738750
1787009289481 -300781 3739687
1787009290597 -378125 3738203
1787009291719 -510937 3739140
