box	W	n_games	plies_total	secs_steady	ms_per_move_steady	throughput_idx	peak_ram_used_g	min_avail_g	timestamp
local	16	48	4600	486	105.6	9.473	9	31	2026-08-02_14:42:05
local	24	72	6905	559	81.0	12.346	10	31	2026-08-02_14:57:39
local	32	96	9211	670	72.7	13.754	7	33	2026-08-02_15:16:28
local	40	120	11515	786	68.3	14.646	8	33	2026-08-02_15:39:54
local	48	144	13817	870	62.9	15.888	8	32	2026-08-02_16:07:06
local	64	192	18418	1128	61.3	16.325	9	31	2026-08-02_16:42:49
