cell	status	n	W	D	L	elo	sigma	paired_z	ms_ratio	secs	timestamp
flip025	DONE	100	52	2	46	20.9	34.8	1.50	1.01	2555	2026-07-13_22:37:43
flip050	DONE	100	52	0	48	13.9	34.8	0.99	1.02	2481	2026-07-13_23:19:05
flip100	DONE	100	51	1	48	10.4	34.8	0.80	1.01	2733	2026-07-14_00:04:39
ret050	DONE	100	45	0	55	-34.9	34.9	-1.63	1.05	2314	2026-07-14_07:14:23
ret100	DONE	100	18	2	80	-251.9	44.3	-10.17	1.08	2321	2026-07-14_07:53:05
