trial	rung	status	n	W	D	L	elo	sigma	paired_margin	paired_z	ms_ratio	fresh_margin	secs	params_json	ts
20	A	DONE	52	28	1	23	33.5	48.4	+6.442	+2.87	0.99	-	1867	{"bonus_cap": 8.55, "c_puct": 1.88, "curve_scale": 1.262, "opp_bonus_cap": 9.79, "pclose_scale": 0.828, "tau_p": 5.42, "value_norm": 13.79}	2026-07-14_22:06:41
21	A	DONE	52	32	0	20	81.6	49.5	-0.423	-0.26	0.97	-	1869	{"bonus_cap": 5.91, "c_puct": 1.88, "curve_scale": 1.216, "opp_bonus_cap": 9.87, "pclose_scale": 0.825, "tau_p": 5.31, "value_norm": 14.4}	2026-07-14_22:37:50
22	A	DONE	52	31	1	20	74.6	49.3	+4.231	+2.39	1.00	-	1934	{"bonus_cap": 10.83, "c_puct": 1.82, "curve_scale": 1.363, "opp_bonus_cap": 9.95, "pclose_scale": 0.87, "tau_p": 5.86, "value_norm": 13.13}	2026-07-14_23:10:05
23	A	DONE	52	32	1	19	88.7	49.8	+4.192	+1.82	0.99	-	1932	{"bonus_cap": 11.36, "c_puct": 2.13, "curve_scale": 1.346, "opp_bonus_cap": 9.72, "pclose_scale": 0.852, "tau_p": 7.3, "value_norm": 12.31}	2026-07-14_23:42:17
24	A	DONE	52	31	3	18	88.7	49.8	+2.635	+1.35	1.01	-	1903	{"bonus_cap": 10.14, "c_puct": 1.58, "curve_scale": 1.426, "opp_bonus_cap": 9.16, "pclose_scale": 0.914, "tau_p": 5.36, "value_norm": 13.38}	2026-07-15_00:14:01
25	A	DONE	52	25	0	27	-13.4	48.2	-3.077	-1.45	1.00	-	2017	{"bonus_cap": 8.95, "c_puct": 1.83, "curve_scale": 1.169, "opp_bonus_cap": 8.87, "pclose_scale": 0.817, "tau_p": 5.01, "value_norm": 12.21}	2026-07-15_00:47:38
26	A	DONE	52	28	1	23	33.5	48.4	-0.673	-0.30	1.00	-	2034	{"bonus_cap": 11.18, "c_puct": 1.59, "curve_scale": 1.302, "opp_bonus_cap": 9.85, "pclose_scale": 0.816, "tau_p": 6.11, "value_norm": 10.89}	2026-07-15_01:21:33
27	A	DONE	52	29	2	21	53.9	48.8	+3.192	+1.46	1.00	-	1961	{"bonus_cap": 8.74, "c_puct": 1.51, "curve_scale": 1.261, "opp_bonus_cap": 9.91, "pclose_scale": 0.805, "tau_p": 5.94, "value_norm": 15.32}	2026-07-15_01:54:15
28	A	DONE	52	29	0	23	40.3	48.5	+2.135	+0.82	0.99	-	1520	{"bonus_cap": 11.98, "c_puct": 1.89, "curve_scale": 1.046, "opp_bonus_cap": 9.89, "pclose_scale": 0.868, "tau_p": 5.31, "value_norm": 12.39}	2026-07-15_02:19:36
29	A	DONE	52	28	1	23	33.5	48.4	+5.385	+2.26	0.99	-	1933	{"bonus_cap": 8.24, "c_puct": 2.12, "curve_scale": 1.341, "opp_bonus_cap": 9.31, "pclose_scale": 0.862, "tau_p": 7.05, "value_norm": 15.14}	2026-07-15_02:51:49
30	A	DONE	52	26	0	26	0.0	48.2	+0.212	+0.09	0.98	-	1853	{"bonus_cap": 7.13, "c_puct": 2.05, "curve_scale": 1.343, "opp_bonus_cap": 9.14, "pclose_scale": 0.931, "tau_p": 7.66, "value_norm": 11.36}	2026-07-15_03:22:42
31	A	DONE	52	24	1	27	-20.1	48.3	-2.288	-0.88	0.98	-	1876	{"bonus_cap": 8.64, "c_puct": 2.09, "curve_scale": 1.11, "opp_bonus_cap": 9.69, "pclose_scale": 0.959, "tau_p": 6.98, "value_norm": 15.36}	2026-07-15_03:53:59
20	B	UNRELIABLE	110	62	0	48	44.5	33.4	+4.091	+2.79	0.99	-	2492	{"bonus_cap": 8.55, "c_puct": 1.88, "curve_scale": 1.262, "opp_bonus_cap": 9.79, "pclose_scale": 0.828, "tau_p": 5.42, "value_norm": 13.79}	2026-07-15_04:35:31
29	B	DONE	120	59	2	59	0.0	31.7	+1.742	+1.09	0.99	-	2635	{"bonus_cap": 8.24, "c_puct": 2.12, "curve_scale": 1.341, "opp_bonus_cap": 9.31, "pclose_scale": 0.862, "tau_p": 7.05, "value_norm": 15.14}	2026-07-15_05:19:26
12	B	DONE	120	62	2	56	17.4	31.8	+2.492	+1.87	0.98	-	2618	{"bonus_cap": 11.8, "c_puct": 2.07, "curve_scale": 1.375, "opp_bonus_cap": 9.84, "pclose_scale": 0.801, "tau_p": 4.11, "value_norm": 19.87}	2026-07-15_06:03:05
22	B	UNRELIABLE	110	60	1	49	34.9	33.3	+1.173	+0.83	1.00	-	2530	{"bonus_cap": 10.83, "c_puct": 1.82, "curve_scale": 1.363, "opp_bonus_cap": 9.95, "pclose_scale": 0.87, "tau_p": 5.86, "value_norm": 13.13}	2026-07-15_06:45:15
23	B	DONE	120	59	3	58	2.9	31.7	+0.025	+0.02	0.99	-	2513	{"bonus_cap": 11.36, "c_puct": 2.13, "curve_scale": 1.346, "opp_bonus_cap": 9.72, "pclose_scale": 0.852, "tau_p": 7.3, "value_norm": 12.31}	2026-07-15_07:27:08
27	B	DONE	120	61	4	55	17.4	31.8	+1.875	+1.37	1.00	-	2505	{"bonus_cap": 8.74, "c_puct": 1.51, "curve_scale": 1.261, "opp_bonus_cap": 9.91, "pclose_scale": 0.805, "tau_p": 5.94, "value_norm": 15.32}	2026-07-15_08:08:54
24	B	UNRELIABLE	110	58	3	49	28.5	33.2	+0.600	+0.38	1.01	-	2131	{"bonus_cap": 10.14, "c_puct": 1.58, "curve_scale": 1.426, "opp_bonus_cap": 9.16, "pclose_scale": 0.914, "tau_p": 5.36, "value_norm": 13.38}	2026-07-15_08:44:25
18	B	UNRELIABLE	110	55	1	54	3.2	33.1	+1.727	+1.29	0.98	-	2434	{"bonus_cap": 9.0, "c_puct": 2.12, "curve_scale": 1.224, "opp_bonus_cap": 9.94, "pclose_scale": 0.821, "tau_p": 4.32, "value_norm": 16.69}	2026-07-15_09:25:00
28	B	UNRELIABLE	110	58	1	51	22.1	33.2	+0.682	+0.45	0.99	-	1982	{"bonus_cap": 11.98, "c_puct": 1.89, "curve_scale": 1.046, "opp_bonus_cap": 9.89, "pclose_scale": 0.868, "tau_p": 5.31, "value_norm": 12.39}	2026-07-15_09:58:03
20	B	DONE	120	68	1	51	49.6	32.0	+4.475	+3.19	0.99	-	1145	{"bonus_cap": 8.55, "c_puct": 1.88, "curve_scale": 1.262, "opp_bonus_cap": 9.79, "pclose_scale": 0.828, "tau_p": 5.42, "value_norm": 13.79}	2026-07-15_11:23:31
22	B	DONE	120	65	1	54	31.9	31.9	+1.167	+0.89	1.00	-	622	{"bonus_cap": 10.83, "c_puct": 1.82, "curve_scale": 1.363, "opp_bonus_cap": 9.95, "pclose_scale": 0.87, "tau_p": 5.86, "value_norm": 13.13}	2026-07-15_11:33:53
24	B	DONE	120	64	3	53	31.9	31.9	+0.867	+0.60	1.01	-	804	{"bonus_cap": 10.14, "c_puct": 1.58, "curve_scale": 1.426, "opp_bonus_cap": 9.16, "pclose_scale": 0.914, "tau_p": 5.36, "value_norm": 13.38}	2026-07-15_11:47:18
18	B	DONE	120	61	2	57	11.6	31.7	+2.025	+1.60	0.98	-	778	{"bonus_cap": 9.0, "c_puct": 2.12, "curve_scale": 1.224, "opp_bonus_cap": 9.94, "pclose_scale": 0.821, "tau_p": 4.32, "value_norm": 16.69}	2026-07-15_12:00:16
28	B	DONE	120	65	1	54	31.9	31.9	+1.125	+0.75	0.99	-	586	{"bonus_cap": 11.98, "c_puct": 1.89, "curve_scale": 1.046, "opp_bonus_cap": 9.89, "pclose_scale": 0.868, "tau_p": 5.31, "value_norm": 12.39}	2026-07-15_12:10:02
8	B	DONE	120	55	4	61	-17.4	31.8	+0.750	+0.51	0.99	-	646	{"bonus_cap": 11.18, "c_puct": 1.94, "curve_scale": 1.429, "opp_bonus_cap": 9.62, "pclose_scale": 0.809, "tau_p": 3.67, "value_norm": 17.73}	2026-07-15_12:20:49
20	C	DONE	240	131	3	106	36.3	22.5	+2.958	+2.97	0.99	+1.442	2773	{"bonus_cap": 8.55, "c_puct": 1.88, "curve_scale": 1.262, "opp_bonus_cap": 9.79, "pclose_scale": 0.828, "tau_p": 5.42, "value_norm": 13.79}	2026-07-15_13:07:03
12	C	UNRELIABLE	230	113	4	113	0.0	22.9	+1.517	+1.46	0.98	+0.783	3442	{"bonus_cap": 11.8, "c_puct": 2.07, "curve_scale": 1.375, "opp_bonus_cap": 9.84, "pclose_scale": 0.801, "tau_p": 4.11, "value_norm": 19.87}	2026-07-15_14:04:26
18	C	DONE	240	127	3	110	24.7	22.5	+1.821	+1.83	0.98	+1.617	3623	{"bonus_cap": 9.0, "c_puct": 2.12, "curve_scale": 1.224, "opp_bonus_cap": 9.94, "pclose_scale": 0.821, "tau_p": 4.32, "value_norm": 16.69}	2026-07-15_15:04:50
27	C	DONE	240	126	12	102	34.9	22.5	+2.350	+2.36	1.00	+2.825	4984	{"bonus_cap": 8.74, "c_puct": 1.51, "curve_scale": 1.261, "opp_bonus_cap": 9.91, "pclose_scale": 0.805, "tau_p": 5.94, "value_norm": 15.32}	2026-07-15_16:27:55
