box	W	n	secs_wall	cand_ms_per_move	champ_ms_per_move	throughput_idx	solver_secs_per_game	timestamp
laptop	12	24	618	389.8	3379.1	6.368	11.9	2026-08-02_11:50:27
laptop	16	32	740	490.3	4275.1	6.715	13.4	2026-08-02_12:02:47
laptop	22	44	992	611.5	5483.6	7.219	18.9	2026-08-02_12:19:19
laptop	30	60	1256	806.4	7290.9	7.410	22.8	2026-08-02_12:40:15
laptop	26	52	1095	692.9	6244.3	7.496	20.1	2026-08-02_13:01:13
laptop	34	68	1469	912.5	8351.1	7.341	25.9	2026-08-02_13:25:42
