1786898647536 -264062 4064531
1786898648668 -257812 4070625
1786898649824 -267187 4072890
1786898650981 -189062 4074375
1786898652171 -270312 4075781
1786898653292 -238281 4076875
1786898654438 -573437 4070312
1786898655553 -499218 4063359
1786898656663 -409375 4063515
1786898657797 -379687 4061796
1786898658948 -189843 4066875
1786898660106 -330468 4070078
1786898661286 -183593 4071406
1786898662456 -286718 4072734
1786898663587 -385156 4073046
1786898664750 -260937 4062343
1786898665902 -354687 4065703
1786898667039 -541406 4061171
1786898668149 -197656 4067500
1786898669316 -335156 4070859
1786898670479 -226562 4073906
1786898671661 -195312 4074843
1786898672824 -231250 4075546
1786898674011 -240625 4076640
1786898675168 -194531 4077421
1786898676331 -221093 4077812
1786898677511 -202343 4076640
1786898678669 -260937 4076953
1786898679824 -269531 4077500
1786898680970 -194531 4077968
1786898682133 -204687 4075390
1786898683291 -162500 4076328
1786898684444 -223437 4077031
1786898685582 -198437 4077500
1786898686713 -267187 4077968
1786898687867 -214843 4078671
1786898689053 -177343 4078750
1786898690232 -221093 4079062
1786898691425 -254687 4079453
1786898692586 -262500 4079296
1786898693747 -211718 4079375
1786898694918 -207812 4079453
1786898696056 -260937 4079765
1786898697220 -238281 4079531
1786898698371 -195312 4079375
1786898699575 -253125 4079531
1786898700760 -183593 4078515
1786898701865 -239843 4078906
1786898703047 -200781 4079218
1786898704231 -246093 4079218
1786898705415 -230468 4079453
1786898706580 -188281 4079687
1786898707712 -277343 4079218
1786898708870 -202343 4079453
1786898710011 -160937 4079453
1786898711173 -288281 4078515
1786898712355 -2179687 3957421
1786898713513 -2140625 3928984
1786898714656 -2297656 3941015
1786898715820 -2469531 3926093
1786898716952 -759375 3947890
1786898718084 -2385156 3924609
1786898719212 -2742187 3911953
1786898720341 -1099218 3980546
1786898721471 -1503906 3944296
1786898722648 -2352343 3907031
1786898723827 -360937 4033125
1786898724994 -201562 4049296
1786898726151 -240625 4053203
1786898727316 -228906 4056953
1786898728495 -172656 4059062
1786898729655 -383593 4058359
1786898730788 -217187 4062421
1786898731951 -160156 4064531
1786898733099 -223437 4064765
1786898734269 -276562 4066093
1786898735438 -226562 4066718
1786898736545 -159375 4066640
1786898737715 -260156 4068046
1786898738890 -168750 4068828
1786898740047 -172656 4069140
1786898741204 -234375 4070000
1786898742388 -157812 4070625
1786898743540 -214062 4071250
1786898744714 -220312 4068828
1786898745852 -475000 4061093
1786898747013 -270312 4062968
1786898748170 -262500 4066406
1786898749326 -188281 4068750
1786898750482 -202343 4070468
1786898751636 -212500 4070937
1786898752775 -211718 4071718
1786898753958 -279687 4072968
1786898755106 -211718 4073125
1786898756277 -180468 4073437
1786898757428 -235156 4073593
1786898758565 -250000 4073750
1786898759739 -282031 4071718
1786898760915 -217968 4072109
1786898762072 -266406 4072812
1786898763237 -238281 4073281
1786898764397 -264062 4073515
1786898765561 -182031 4073828
1786898766745 -188281 4073906
1786898767906 -201562 4074218
1786898769046 -207812 4074375
1786898770228 -259375 4074687
1786898771372 -208593 4074765
1786898772522 -196093 4074765
1786898773678 -160156 4075000
1786898774812 -212500 4075078
1786898775981 -231250 4075234
1786898777133 -168750 4075078
1786898778288 -269531 4075312
1786898779430 -527343 4068281
1786898780523 -470312 4043437
1786898781687 -207812 4063984
1786898782866 -259375 4067578
1786898784049 -439843 4069062
1786898785188 -202343 4068828
1786898786346 -1052343 3997812
1786898787512 -2071875 3965859
1786898788610 -254687 3992265
1786898789676 -692968 3987968
1786898790765 -608593 3993906
1786898791834 -1957031 3951718
1786898792990 -1997656 3962656
1786898794063 -1550781 3958515
1786898795260 -292187 4053906
1786898796455 -235156 4059843
1786898797621 -189843 4061796
1786898798758 -228906 4063593
1786898799893 -164062 4064765
1786898801051 -189062 4065781
1786898802212 -189062 4066796
1786898803395 -153125 4067421
1786898804575 -200781 4067500
1786898805752 -196093 4067734
1786898806933 -180468 4068359
1786898808119 -235156 4068515
1786898809258 -257812 4068828
1786898810422 -325000 4068671
1786898811575 -215625 4069453
1786898812748 -168750 4070156
1786898813883 -173437 4070078
1786898815061 -203125 4070390
1786898816204 -166406 4070937
1786898817381 -195312 4071250
1786898818566 -173437 4071484
1786898819721 -163281 4071484
1786898820877 -217187 4071640
1786898822050 -244531 4071718
1786898823229 -165625 4071406
1786898824398 -165625 4071796
1786898825553 -170312 4072343
1786898826708 -185156 4072656
1786898827865 -180468 4072968
1786898829030 -178906 4073046
1786898830184 -234375 4073125
1786898831359 -154687 4073203
1786898832520 -159375 4073359
1786898833699 -182031 4073437
1786898834836 -157812 4073359
1786898836002 -267187 4073046
1786898837156 -180468 4072343
1786898838331 -199218 4072890
1786898839483 -817187 4065703
1786898840646 -304687 4063515
1786898841813 -304687 4065937
1786898842976 -304687 4067109
1786898844115 -292187 4068046
1786898845271 -296093 4068671
1786898846461 -305468 4069140
1786898847638 -192187 4070078
1786898848779 -247656 4070078
1786898849930 -453906 4067890
1786898851038 -279687 4069062
1786898852214 -160937 4071093
1786898853381 -165625 4071640
1786898854516 -378906 4072031
1786898855663 -1718750 3977421
1786898856832 -1667187 3971328
1786898857995 -1782812 3956015
1786898859154 -1646875 3952265
