[115/898] s28000000056_p68 trunc=0/9680 7.97s
[116/898] s28000000052_p126 trunc=0/10428 12.502s
[117/898] s28000000063_p34 trunc=0/9821 3.967s
[118/898] s28000000058_p124 trunc=0/8789 7.988s
[119/898] s28000000061_p77 trunc=0/9099 5.864s
[120/898] s28000000055_p118 trunc=0/9214 11.463s
[121/898] s28000000057_p112 trunc=0/10044 9.954s
[122/898] s28000000069_p11 trunc=0/10169 2.429s
[123/898] s28000000067_p22 trunc=0/10533 3.758s
[124/898] s28000000054_p117 trunc=0/9869 14.134s
[125/898] s28000000063_p51 trunc=0/10170 6.279s
[126/898] s28000000060_p100 trunc=0/10061 9.704s
[127/898] s28000000071_p10 trunc=0/10232 2.163s
[128/898] s28000000072_p4 trunc=0/10266 1.736s
[129/898] s28000000071_p11 trunc=0/10545 2.37s
[130/898] s28000000062_p89 trunc=0/9940 9.797s
[131/898] s28000000070_p30 trunc=0/10407 4.271s
[132/898] s28000000064_p104 trunc=0/8342 9.792s
[133/898] s28000000062_p96 trunc=0/9994 11.166s
[134/898] s28000000074_p20 trunc=0/10101 2.767s
[135/898] s28000000073_p37 trunc=0/9669 4.382s
[136/898] s28000000057_p135 trunc=0/5165 14.765s
[137/898] s28000000068_p83 trunc=0/10366 8.985s
[138/898] s28000000066_p85 trunc=0/9569 11.157s
[139/898] s28000000078_p17 trunc=0/9996 2.76s
[140/898] s28000000070_p81 trunc=0/10001 8.548s
[141/898] s28000000080_p140 trunc=None/None 0.0005114078521728516s
[142/898] s28000000075_p82 trunc=0/8926 6.102s
[143/898] s28000000064_p136 trunc=0/9333 13.034s
[144/898] s28000000073_p76 trunc=0/10320 8.119s
[145/898] s28000000065_p143 trunc=0/24 13.089s
[146/898] s28000000068_p124 trunc=0/10617 12.029s
[147/898] s28000000067_p132 trunc=0/10917 12.358s
[148/898] s28000000076_p52 trunc=0/10275 6.18s
[149/898] s28000000066_p121 trunc=0/9688 13.897s
[150/898] s28000000046_p137 trunc=0/10279 28.371s
[151/898] s28000000083_p8 trunc=0/10559 1.956s
[152/898] s28000000069_p124 trunc=0/8671 13.1s
[153/898] s28000000084_p11 trunc=0/10192 2.137s
[154/898] s28000000080_p26 trunc=0/10571 4.456s
[155/898] s28000000072_p95 trunc=0/9535 11.705s
[156/898] s28000000079_p62 trunc=0/8950 6.062s
[157/898] s28000000065_p133 trunc=0/10334 16.527s
[158/898] s28000000078_p66 trunc=0/10795 7.55s
[159/898] s28000000074_p103 trunc=0/10799 11.363s
[160/898] s28000000085_p30 trunc=0/9591 3.556s
[161/898] s28000000079_p68 trunc=0/10004 7.434s
[162/898] s28000000081_p55 trunc=0/10509 6.573s
[163/898] s28000000075_p101 trunc=0/10715 11.75s
[164/898] s28000000087_p29 trunc=0/10479 4.135s
[165/898] s28000000082_p57 trunc=0/9894 7.363s
[166/898] s28000000092_p1 trunc=0/10047 1.386s
[167/898] s28000000077_p110 trunc=0/9960 12.023s
[168/898] s28000000083_p94 trunc=0/7558 7.78s
[169/898] s28000000077_p130 trunc=0/10700 13.787s
[170/898] s28000000081_p80 trunc=0/10602 10.051s
[171/898] s28000000089_p56 trunc=0/10112 6.584s
[172/898] s28000000090_p52 trunc=0/9080 5.788s
[173/898] s28000000089_p76 trunc=0/9028 6.979s
[174/898] s28000000087_p60 trunc=0/10171 7.524s
[175/898] s28000000093_p25 trunc=0/10301 3.588s
[176/898] s28000000094_p19 trunc=0/10804 3.174s
[177/898] s28000000085_p96 trunc=0/9606 9.949s
[178/898] s28000000076_p136 trunc=0/10994 16.365s
[179/898] s28000000094_p24 trunc=0/10629 3.785s
[180/898] s28000000088_p76 trunc=0/10679 9.02s
[181/898] s28000000095_p18 trunc=0/9695 3.166s
[182/898] s28000000086_p102 trunc=0/10304 10.846s
[183/898] s28000000082_p114 trunc=0/9949 13.095s
[184/898] s28000000092_p56 trunc=0/9512 7.158s
[185/898] s28000000088_p102 trunc=0/10534 11.131s
[186/898] s28000000086_p107 trunc=0/9925 12.208s
[187/898] s28000000096_p44 trunc=0/9574 4.823s
[188/898] s28000000091_p84 trunc=0/10176 9.479s
[189/898] s28000000102_p10 trunc=0/10044 2.325s
[190/898] s28000000091_p88 trunc=0/10711 10.136s
[191/898] s28000000097_p37 trunc=0/10475 5.362s
[192/898] s28000000099_p49 trunc=0/10036 4.945s
[193/898] s28000000090_p116 trunc=0/9875 11.428s
[194/898] s28000000101_p29 trunc=0/9721 3.73s
[195/898] s28000000084_p143 trunc=0/16 16.164s
[196/898] s28000000103_p9 trunc=0/9851 2.149s
[197/898] s28000000096_p57 trunc=0/9734 7.081s
[198/898] s28000000098_p60 trunc=0/9160 6.703s
[199/898] s28000000105_p10 trunc=0/9946 2.137s
[200/898] s28000000093_p98 trunc=0/9795 10.73s
[201/898] s28000000104_p30 trunc=0/9664 3.831s
[202/898] s28000000105_p16 trunc=0/10311 2.845s
[203/898] s28000000102_p37 trunc=0/10169 5.189s
[204/898] s28000000100_p66 trunc=0/10172 7.673s
[205/898] s28000000107_p24 trunc=0/10381 3.825s
[206/898] s28000000106_p30 trunc=0/10237 4.321s
[207/898] s28000000095_p130 trunc=0/7408 10.749s
[208/898] s28000000099_p120 trunc=0/9820 10.285s
[209/898] s28000000101_p103 trunc=0/10836 9.463s
[210/898] s28000000100_p86 trunc=0/10603 10.582s
[211/898] s28000000097_p116 trunc=0/9584 12.143s
[212/898] s28000000103_p71 trunc=0/9835 8.529s
[213/898] s28000000111_p33 trunc=0/8796 4.811s
[214/898] s28000000104_p91 trunc=0/9711 8.684s
[215/898] s28000000107_p73 trunc=0/9940 7.825s
[216/898] s28000000110_p94 trunc=0/10363 7.552s
[217/898] s28000000112_p70 trunc=0/8998 6.285s
[218/898] s28000000098_p125 trunc=0/8941 14.837s
[219/898] s28000000108_p93 trunc=0/9647 9.452s
[220/898] s28000000114_p62 trunc=0/8722 5.807s
[221/898] s28000000110_p98 trunc=0/9090 8.429s
[222/898] s28000000115_p35 trunc=0/9226 4.217s
[223/898] s28000000111_p76 trunc=0/10581 7.938s
[224/898] s28000000118_p14 trunc=0/10625 2.354s
[225/898] s28000000113_p66 trunc=0/9542 6.965s
[226/898] s28000000109_p96 trunc=0/9016 9.856s
[227/898] s28000000106_p89 trunc=0/10122 11.485s
[228/898] s28000000113_p80 trunc=0/9231 8.023s
[229/898] s28000000122_p5 trunc=0/9895 1.803s
[230/898] s28000000114_p81 trunc=0/9500 7.548s
[231/898] s28000000108_p102 trunc=0/10429 13.078s
[232/898] s28000000115_p65 trunc=0/10545 7.733s
[233/898] s28000000116_p57 trunc=0/10293 7.792s
[234/898] s28000000112_p118 trunc=0/10378 11.602s
[235/898] s28000000123_p33 trunc=0/9980 4.816s
[236/898] s28000000120_p55 trunc=0/10527 5.687s
[237/898] s28000000124_p37 trunc=0/9168 4.528s
[238/898] s28000000119_p54 trunc=0/10069 7.3s
[239/898] s28000000109_p133 trunc=0/8117 15.372s
[240/898] s28000000116_p106 trunc=0/10182 9.833s
[241/898] s28000000126_p30 trunc=0/9993 3.888s
[242/898] s28000000129_p8 trunc=0/10181 2.165s
[243/898] s28000000130_p7 trunc=0/10406 2.142s
[244/898] s28000000127_p47 trunc=0/9812 4.979s
[245/898] s28000000124_p72 trunc=0/9122 7.451s
[246/898] s28000000118_p100 trunc=0/8703 11.321s
[247/898] s28000000130_p20 trunc=0/10647 3.589s
[248/898] s28000000123_p114 trunc=0/9799 9.78s
[249/898] s28000000121_p112 trunc=0/10057 10.662s
[250/898] s28000000125_p94 trunc=0/9767 8.904s
[251/898] s28000000120_p111 trunc=0/9606 11.635s
[252/898] s28000000117_p124 trunc=0/9802 14.559s
[253/898] s28000000122_p103 trunc=0/9620 11.581s
[254/898] s28000000133_p12 trunc=0/10399 2.577s
[255/898] s28000000119_p126 trunc=0/10461 12.483s
[256/898] s28000000125_p96 trunc=0/9802 9.062s
[257/898] s28000000121_p141 trunc=0/552 12.812s
[258/898] s28000000131_p43 trunc=0/10786 5.827s
[259/898] s28000000128_p78 trunc=0/9348 7.791s
[260/898] s28000000117_p130 trunc=0/9596 16.799s
[261/898] s28000000128_p72 trunc=0/9798 8.937s
[262/898] s28000000132_p47 trunc=0/10460 5.845s
[263/898] s28000000131_p52 trunc=0/10182 6.697s
[264/898] s28000000136_p21 trunc=0/9482 3.307s
[265/898] s28000000138_p16 trunc=0/10201 2.955s
[266/898] s28000000136_p24 trunc=0/9864 3.441s
[267/898] s28000000134_p49 trunc=0/9987 5.029s
[268/898] s28000000138_p24 trunc=0/10968 3.345s
[269/898] s28000000140_p10 trunc=0/9899 2.177s
[270/898] s28000000126_p104 trunc=0/9579 12.025s
[271/898] s28000000129_p115 trunc=0/9725 10.594s
[272/898] s28000000133_p74 trunc=0/9424 7.095s
[273/898] s28000000142_p16 trunc=0/9830 2.686s
[274/898] s28000000145_p10 trunc=0/9734 2.018s
[275/898] s28000000127_p119 trunc=0/9063 12.759s
[276/898] s28000000135_p76 trunc=0/9948 7.463s
[277/898] s28000000132_p105 trunc=0/9996 9.359s
[278/898] s28000000139_p51 trunc=0/9014 6.195s
[279/898] s28000000134_p67 trunc=0/10500 8.645s
[280/898] s28000000144_p31 trunc=0/10358 4.335s
[281/898] s28000000145_p34 trunc=0/10105 4.134s
[282/898] s28000000148_p17 trunc=0/10482 2.815s
[283/898] s28000000143_p46 trunc=0/9926 6.458s
[284/898] s28000000150_p11 trunc=0/10133 2.346s
[285/898] s28000000147_p41 trunc=0/10265 5.104s
[286/898] s28000000137_p96 trunc=0/10666 10.672s
[287/898] s28000000146_p39 trunc=0/10535 5.826s
[288/898] s28000000141_p82 trunc=0/10338 8.704s
[289/898] s28000000141_p94 trunc=0/10378 8.844s
[290/898] s28000000139_p86 trunc=0/10661 10.565s
[291/898] s28000000144_p97 trunc=0/10726 8.776s
[292/898] s28000000151_p26 trunc=0/10064 4.048s
[293/898] s28000000140_p105 trunc=0/9078 10.379s
[294/898] s28000000154_p16 trunc=0/10207 2.556s
[295/898] s28000000152_p29 trunc=0/10061 3.961s
[296/898] s28000000137_p125 trunc=0/8747 13.657s
[297/898] s28000000146_p88 trunc=0/9829 9.303s
[298/898] s28000000142_p124 trunc=0/9606 11.622s
[299/898] s28000000148_p85 trunc=0/10462 9.18s
[300/898] s28000000152_p50 trunc=0/10786 5.737s
[301/898] s28000000157_p20 trunc=0/10534 3.303s
[302/898] s28000000135_p141 trunc=0/1104 17.427s
[303/898] s28000000153_p59 trunc=0/10058 6.657s
[304/898] s28000000147_p128 trunc=0/8073 11.904s
[305/898] s28000000160_p7 trunc=0/9916 2.045s
[306/898] s28000000156_p45 trunc=0/9114 5.25s
[307/898] s28000000155_p47 trunc=0/10544 6.666s
[308/898] s28000000157_p48 trunc=0/9140 4.911s
[309/898] s28000000158_p49 trunc=0/10315 5.484s
[310/898] s28000000151_p95 trunc=0/10605 10.52s
[311/898] s28000000150_p103 trunc=0/9317 11.537s
[312/898] s28000000161_p23 trunc=0/10158 3.687s
[313/898] s28000000159_p39 trunc=0/10916 5.195s
[314/898] s28000000159_p40 trunc=0/10836 5.533s
[315/898] s28000000149_p114 trunc=0/9812 14.162s
[316/898] s28000000167_p2 trunc=0/10274 1.399s
[317/898] s28000000154_p104 trunc=0/10369 10.548s
[318/898] s28000000166_p11 trunc=0/9869 2.542s
[319/898] s28000000149_p123 trunc=0/10149 14.853s
[320/898] s28000000168_p1 trunc=0/10766 1.481s
[321/898] s28000000156_p127 trunc=0/8044 10.426s
[322/898] s28000000153_p115 trunc=0/10332 12.218s
[323/898] s28000000160_p68 trunc=0/10070 7.564s
[324/898] s28000000169_p5 trunc=0/10490 1.901s
[325/898] s28000000162_p56 trunc=0/10219 6.666s
[326/898] s28000000165_p46 trunc=0/9636 5.644s
[327/898] s28000000169_p18 trunc=0/10615 3.044s
[328/898] s28000000162_p88 trunc=0/10147 7.921s
[329/898] s28000000174_p3 trunc=0/10510 1.599s
[330/898] s28000000155_p116 trunc=0/9817 14.81s
[331/898] s28000000171_p27 trunc=0/9940 3.808s
[332/898] s28000000166_p69 trunc=0/10371 7.151s
[333/898] s28000000164_p73 trunc=0/10549 8.949s
[334/898] s28000000164_p83 trunc=0/10855 8.724s
[335/898] s28000000158_p118 trunc=0/10092 13.365s
[336/898] s28000000161_p132 trunc=0/9978 10.654s
[337/898] s28000000143_p139 trunc=0/5646 24.258s
[338/898] s28000000170_p49 trunc=0/10424 5.785s
[339/898] s28000000177_p3 trunc=0/9616 1.531s
[340/898] s28000000163_p78 trunc=0/10106 11.11s
[341/898] s28000000179_p7 trunc=0/10301 2.119s
[342/898] s28000000173_p59 trunc=0/10703 6.734s
[343/898] s28000000167_p132 trunc=0/9083 10.347s
[344/898] s28000000170_p88 trunc=0/10041 8.263s
