=== scheduler dispatch window_truncation_census W=22 2026-08-13T11:21:44-04:00 ===
[2026-08-13T11:21:44-04:00] window-truncation census: box=laptop job=window_truncation_census W=22 smoke=0 share=/mnt/c/carc-shared
[2026-08-13T11:21:44-04:00] FATAL: CL-070 root bank missing at /mnt/c/carc-shared/classical_search/move_agreement_k4_b28e9/roots.jsonl
=== scheduler dispatch window_truncation_census EXIT rc=13 2026-08-13T11:21:44-04:00 ===
=== scheduler dispatch window_truncation_census W=22 2026-08-13T11:46:12-04:00 ===
[2026-08-13T11:46:12-04:00]   share candidate /mnt/c/carc-shared: REJECTED (exists, but no sentinel classical_search/move_agreement_k4_b28e9/roots.jsonl — 1 entries; wrong mount for this box)
[2026-08-13T11:46:12-04:00]   share candidate /mnt/carc-shared: ACCEPTED (sentinel present)
[2026-08-13T11:46:12-04:00] window-truncation census: box=laptop job=window_truncation_census W=22 smoke=0 share=/mnt/carc-shared
[2026-08-13T11:46:12-04:00] preflight ok — git 8fe245422, leg-A bank 898 roots, 26 e4 archives
[2026-08-13T11:46:12-04:00] leg walled: starting (W=22, R9=0, out=measurement/window_truncation_20260813/census_walled, log=measurement/window_truncation_20260813/logs/census_walled.log)
[102/898] s28000000054_p61 trunc=0/10016 7.277s
[103/898] s28000000052_p86 trunc=0/9052 8.874s
[104/898] s28000000051_p112 trunc=0/10587 9.271s
[105/898] s28000000045_p126 trunc=0/10749 12.26s
[106/898] s28000000059_p39 trunc=0/10389 3.891s
[107/898] s28000000050_p122 trunc=0/9735 10.26s
[108/898] s28000000053_p104 trunc=0/10661 9.972s
[109/898] s28000000059_p51 trunc=0/9742 5.307s
[110/898] s28000000058_p50 trunc=0/9496 5.664s
[111/898] s28000000042_p135 trunc=0/9888 16.577s
[112/898] s28000000061_p36 trunc=0/9901 4.237s
[113/898] s28000000060_p46 trunc=0/10722 5.895s
[114/898] s28000000055_p114 trunc=0/9196 10.525s
[115/898] s28000000056_p68 trunc=0/9680 7.97s
[116/898] s28000000052_p126 trunc=0/10428 12.502s
[117/898] s28000000063_p34 trunc=0/9821 3.967s
[118/898] s28000000058_p124 trunc=0/8789 7.988s
[119/898] s28000000061_p77 trunc=0/9099 5.864s
[120/898] s28000000055_p118 trunc=0/9214 11.463s
[121/898] s28000000057_p112 trunc=0/10044 9.954s
[122/898] s28000000069_p11 trunc=0/10169 2.429s
[123/898] s28000000067_p22 trunc=0/10533 3.758s
[124/898] s28000000054_p117 trunc=0/9869 14.134s
[125/898] s28000000063_p51 trunc=0/10170 6.279s
[126/898] s28000000060_p100 trunc=0/10061 9.704s
[127/898] s28000000071_p10 trunc=0/10232 2.163s
[128/898] s28000000072_p4 trunc=0/10266 1.736s
[129/898] s28000000071_p11 trunc=0/10545 2.37s
[130/898] s28000000062_p89 trunc=0/9940 9.797s
[131/898] s28000000070_p30 trunc=0/10407 4.271s
[132/898] s28000000064_p104 trunc=0/8342 9.792s
[133/898] s28000000062_p96 trunc=0/9994 11.166s
[134/898] s28000000074_p20 trunc=0/10101 2.767s
[135/898] s28000000073_p37 trunc=0/9669 4.382s
[136/898] s28000000057_p135 trunc=0/5165 14.765s
[137/898] s28000000068_p83 trunc=0/10366 8.985s
[138/898] s28000000066_p85 trunc=0/9569 11.157s
[139/898] s28000000078_p17 trunc=0/9996 2.76s
[140/898] s28000000070_p81 trunc=0/10001 8.548s
[141/898] s28000000080_p140 trunc=None/None 0.0005114078521728516s
[142/898] s28000000075_p82 trunc=0/8926 6.102s
[143/898] s28000000064_p136 trunc=0/9333 13.034s
[144/898] s28000000073_p76 trunc=0/10320 8.119s
[145/898] s28000000065_p143 trunc=0/24 13.089s
[146/898] s28000000068_p124 trunc=0/10617 12.029s
[147/898] s28000000067_p132 trunc=0/10917 12.358s
[148/898] s28000000076_p52 trunc=0/10275 6.18s
[149/898] s28000000066_p121 trunc=0/9688 13.897s
[150/898] s28000000046_p137 trunc=0/10279 28.371s
[151/898] s28000000083_p8 trunc=0/10559 1.956s
[152/898] s28000000069_p124 trunc=0/8671 13.1s
[153/898] s28000000084_p11 trunc=0/10192 2.137s
[154/898] s28000000080_p26 trunc=0/10571 4.456s
[155/898] s28000000072_p95 trunc=0/9535 11.705s
[156/898] s28000000079_p62 trunc=0/8950 6.062s
[157/898] s28000000065_p133 trunc=0/10334 16.527s
[158/898] s28000000078_p66 trunc=0/10795 7.55s
[159/898] s28000000074_p103 trunc=0/10799 11.363s
[160/898] s28000000085_p30 trunc=0/9591 3.556s
[161/898] s28000000079_p68 trunc=0/10004 7.434s
[162/898] s28000000081_p55 trunc=0/10509 6.573s
[163/898] s28000000075_p101 trunc=0/10715 11.75s
[164/898] s28000000087_p29 trunc=0/10479 4.135s
[165/898] s28000000082_p57 trunc=0/9894 7.363s
[166/898] s28000000092_p1 trunc=0/10047 1.386s
[167/898] s28000000077_p110 trunc=0/9960 12.023s
[168/898] s28000000083_p94 trunc=0/7558 7.78s
[169/898] s28000000077_p130 trunc=0/10700 13.787s
[170/898] s28000000081_p80 trunc=0/10602 10.051s
[171/898] s28000000089_p56 trunc=0/10112 6.584s
[172/898] s28000000090_p52 trunc=0/9080 5.788s
[173/898] s28000000089_p76 trunc=0/9028 6.979s
[174/898] s28000000087_p60 trunc=0/10171 7.524s
[175/898] s28000000093_p25 trunc=0/10301 3.588s
