cell	status	n	W	D	L	elo	sigma	paired_z	ms_ratio	profile	r9_ok	secs	timestamp
curve100	DONE	4	2	0	2	0.0	173.7	1.17	1.00	fixed_v1	true	175	2026-08-03_06:14:37
curve150	DONE	4	1	0	3	-190.8	200.6	0.05	1.02	fixed_v1	true	183	2026-08-03_06:17:41
cap5	DONE	4	0	1	3	-338.0	262.6	-3.17	0.94	fixed_v1	true	74	2026-08-03_06:18:55
cap12	DONE	4	1	0	3	-190.8	200.6	-19.00	1.03	fixed_v1	true	64	2026-08-03_06:19:59
oppcap4	DONE	4	2	0	2	0.0	173.7	-0.73	1.06	fixed_v1	true	162	2026-08-03_06:22:41
oppcap12	DONE	4	1	0	3	-190.8	200.6	-0.62	0.91	fixed_v1	true	60	2026-08-03_06:23:42
curve100	DONE	30	13	1	16	-34.9	63.8	-1.32	1.02	fixed_v1	true	241	2026-08-03_06:27:59
