[2026-08-13T21:54:10-04:00]   share candidate /mnt/c/carc-shared: ACCEPTED (sentinel present)
[2026-08-13T21:54:10-04:00]   share candidate /mnt/carc-shared: REJECTED (exists, but no sentinel classical_search/move_agreement_k4_b28e9/roots.jsonl — 0 entries; wrong mount for this box)
[2026-08-13T21:54:10-04:00] window-truncation census: box=local job=window_truncation_census W=24 smoke=0 share=/mnt/c/carc-shared
[2026-08-13T21:54:10-04:00] preflight ok — git 530368de, leg-A bank 898 roots, 26 e4 archives
[2026-08-13T21:54:10-04:00] leg walled: starting (W=24, R9=0, out=measurement/window_truncation_20260813/census_walled, log=measurement/window_truncation_20260813/logs/census_walled.log)
[103/898] s28000000051_p112 trunc=0/10587 9.314s
[104/898] s28000000052_p86 trunc=0/9052 9.184s
[105/898] s28000000045_p126 trunc=0/10749 12.932s
[106/898] s28000000050_p122 trunc=0/9735 10.395s
[107/898] s28000000059_p39 trunc=0/10389 4.354s
[108/898] s28000000061_p36 trunc=0/9901 4.229s
[109/898] s28000000053_p104 trunc=0/10661 10.421s
[110/898] s28000000058_p50 trunc=0/9496 5.875s
[111/898] s28000000059_p51 trunc=0/9742 5.331s
[112/898] s28000000056_p68 trunc=0/9680 7.977s
[113/898] s28000000060_p46 trunc=0/10722 6.142s
[114/898] s28000000055_p114 trunc=0/9196 11.17s
[115/898] s28000000063_p34 trunc=0/9821 3.879s
[116/898] s28000000042_p135 trunc=0/9888 17.661s
[117/898] s28000000061_p77 trunc=0/9099 5.856s
[118/898] s28000000052_p126 trunc=0/10428 13.042s
[119/898] s28000000058_p124 trunc=0/8789 8.094s
[120/898] s28000000055_p118 trunc=0/9214 11.704s
[121/898] s28000000057_p112 trunc=0/10044 10.318s
[122/898] s28000000067_p22 trunc=0/10533 3.753s
[123/898] s28000000069_p11 trunc=0/10169 2.467s
[124/898] s28000000063_p51 trunc=0/10170 6.381s
[125/898] s28000000054_p117 trunc=0/9869 14.483s
[126/898] s28000000072_p4 trunc=0/10266 1.781s
[127/898] s28000000071_p10 trunc=0/10232 2.314s
[128/898] s28000000060_p100 trunc=0/10061 10.008s
[129/898] s28000000071_p11 trunc=0/10545 2.388s
[130/898] s28000000070_p30 trunc=0/10407 4.376s
[131/898] s28000000062_p89 trunc=0/9940 10.862s
[132/898] s28000000074_p20 trunc=0/10101 3.339s
[133/898] s28000000057_p135 trunc=0/5165 15.607s
[134/898] s28000000064_p104 trunc=0/8342 10.78s
[135/898] s28000000073_p37 trunc=0/9669 4.948s
[136/898] s28000000062_p96 trunc=0/9994 12.002s
[137/898] s28000000068_p83 trunc=0/10366 9.536s
[138/898] s28000000070_p81 trunc=0/10001 8.726s
[139/898] s28000000080_p140 trunc=None/None 0.0004334449768066406s
[140/898] s28000000075_p82 trunc=0/8926 6.556s
[141/898] s28000000078_p17 trunc=0/9996 2.716s
[142/898] s28000000066_p85 trunc=0/9569 12.24s
[143/898] s28000000076_p52 trunc=0/10275 6.661s
[144/898] s28000000065_p143 trunc=0/24 12.797s
[145/898] s28000000064_p136 trunc=0/9333 13.452s
[146/898] s28000000046_p137 trunc=0/10279 26.959s
[147/898] s28000000067_p132 trunc=0/10917 12.399s
[148/898] s28000000073_p76 trunc=0/10320 8.592s
[149/898] s28000000066_p121 trunc=0/9688 13.786s
[150/898] s28000000083_p8 trunc=0/10559 1.943s
[151/898] s28000000068_p124 trunc=0/10617 12.595s
[152/898] s28000000084_p11 trunc=0/10192 2.024s
[153/898] s28000000079_p62 trunc=0/8950 5.589s
[154/898] s28000000080_p26 trunc=0/10571 4.292s
[155/898] s28000000069_p124 trunc=0/8671 13.595s
[156/898] s28000000072_p95 trunc=0/9535 12.261s
[157/898] s28000000065_p133 trunc=0/10334 17.355s
[158/898] s28000000079_p68 trunc=0/10004 6.756s
[159/898] s28000000078_p66 trunc=0/10795 7.485s
[160/898] s28000000085_p30 trunc=0/9591 3.531s
[161/898] s28000000074_p103 trunc=0/10799 11.837s
[162/898] s28000000081_p55 trunc=0/10509 5.969s
[163/898] s28000000075_p101 trunc=0/10715 11.917s
[164/898] s28000000092_p1 trunc=0/10047 1.328s
[165/898] s28000000087_p29 trunc=0/10479 4.066s
[166/898] s28000000082_p57 trunc=0/9894 7.24s
[167/898] s28000000077_p110 trunc=0/9960 11.606s
[168/898] s28000000083_p94 trunc=0/7558 7.149s
[169/898] s28000000093_p25 trunc=0/10301 3.512s
[170/898] s28000000077_p130 trunc=0/10700 13.238s
[171/898] s28000000087_p60 trunc=0/10171 7.002s
[172/898] s28000000094_p19 trunc=0/10804 3.152s
[173/898] s28000000081_p80 trunc=0/10602 10.045s
[174/898] s28000000090_p52 trunc=0/9080 5.362s
[175/898] s28000000089_p56 trunc=0/10112 6.277s
[176/898] s28000000076_p136 trunc=0/10994 15.704s
[177/898] s28000000095_p18 trunc=0/9695 3.182s
[178/898] s28000000094_p24 trunc=0/10629 3.682s
[179/898] s28000000085_p96 trunc=0/9606 9.756s
[180/898] s28000000089_p76 trunc=0/9028 6.67s
[181/898] s28000000092_p56 trunc=0/9512 6.413s
[182/898] s28000000088_p76 trunc=0/10679 8.391s
[183/898] s28000000086_p102 trunc=0/10304 10.256s
[184/898] s28000000082_p114 trunc=0/9949 12.565s
[185/898] s28000000096_p44 trunc=0/9574 4.767s
[186/898] s28000000086_p107 trunc=0/9925 11.39s
[187/898] s28000000102_p10 trunc=0/10044 2.325s
[188/898] s28000000088_p102 trunc=0/10534 10.568s
[189/898] s28000000091_p84 trunc=0/10176 9.061s
[190/898] s28000000103_p9 trunc=0/9851 1.893s
[191/898] s28000000091_p88 trunc=0/10711 9.598s
[192/898] s28000000097_p37 trunc=0/10475 5.158s
[193/898] s28000000101_p29 trunc=0/9721 3.629s
[194/898] s28000000084_p143 trunc=0/16 13.923s
[195/898] s28000000099_p49 trunc=0/10036 5.001s
[196/898] s28000000090_p116 trunc=0/9875 10.911s
[197/898] s28000000105_p10 trunc=0/9946 2.016s
[198/898] s28000000096_p57 trunc=0/9734 6.731s
[199/898] s28000000098_p60 trunc=0/9160 6.459s
[200/898] s28000000102_p37 trunc=0/10169 4.852s
[201/898] s28000000105_p16 trunc=0/10311 2.825s
[202/898] s28000000093_p98 trunc=0/9795 10.583s
[203/898] s28000000104_p30 trunc=0/9664 3.784s
[204/898] s28000000095_p130 trunc=0/7408 9.92s
[205/898] s28000000100_p66 trunc=0/10172 7.311s
[206/898] s28000000107_p24 trunc=0/10381 3.515s
[207/898] s28000000106_p30 trunc=0/10237 4.332s
[208/898] s28000000099_p120 trunc=0/9820 9.289s
[209/898] s28000000101_p103 trunc=0/10836 8.797s
[210/898] s28000000100_p86 trunc=0/10603 9.989s
[211/898] s28000000111_p33 trunc=0/8796 4.593s
[212/898] s28000000103_p71 trunc=0/9835 8.356s
[213/898] s28000000097_p116 trunc=0/9584 11.573s
[214/898] s28000000104_p91 trunc=0/9711 7.84s
[215/898] s28000000107_p73 trunc=0/9940 7.171s
[216/898] s28000000115_p35 trunc=0/9226 4.118s
