margin_bucket,margin_center,margin_mean,tiles_band,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin
[-60:-55),-57.5,-61.469,1-5,91,27,0.0000,0.0000,0.0405,-1.0000,-0.9994,0.0003
[-55:-50),-52.5,-52.148,1-5,92,39,0.0000,-0.0000,0.0401,-1.0000,-0.9981,0.0010
[-50:-45),-47.5,-47.545,1-5,111,49,0.0000,-0.0000,0.0335,-1.0000,-0.9965,0.0018
[-45:-40),-42.5,-42.416,1-5,196,79,0.0000,0.0000,0.0192,-1.0000,-0.9930,0.0035
[-40:-35),-37.5,-37.749,1-5,255,107,0.0000,0.0000,0.0148,-1.0000,-0.9870,0.0065
[-35:-30),-32.5,-32.597,1-5,433,179,0.0000,-0.0000,0.0088,-1.0000,-0.9744,0.0128
[-30:-25),-27.5,-27.490,1-5,592,230,0.0034,0.0009,0.0122,-0.9932,-0.9501,0.0250
[-25:-20),-22.5,-22.643,1-5,791,299,0.0051,0.0020,0.0129,-0.9899,-0.9069,0.0466
[-20:-15),-17.5,-17.556,1-5,954,367,0.0105,0.0057,0.0192,-0.9790,-0.8244,0.0878
[-15:-10),-12.5,-12.728,1-5,1044,416,0.0278,0.0194,0.0396,-0.9444,-0.6903,0.1548
[-10:-5),-7.5,-7.588,1-5,1224,448,0.1123,0.0958,0.1313,-0.7753,-0.4667,0.2666
[-5:0),-2.5,-2.582,1-5,1298,373,0.3451,0.3198,0.3714,-0.3097,-0.1705,0.4148
[0:5),2.5,2.347,1-5,1292,398,0.6900,0.6643,0.7146,0.3800,0.1552,0.5776
[5:10),7.5,7.228,1-5,1179,433,0.9092,0.8915,0.9243,0.8185,0.4478,0.7239
[10:15),12.5,12.492,1-5,1046,417,0.9766,0.9655,0.9841,0.9532,0.6820,0.8410
[15:20),17.5,17.297,1-5,939,359,0.9883,0.9791,0.9934,0.9766,0.8188,0.9094
[20:25),22.5,22.328,1-5,764,289,0.9961,0.9885,0.9987,0.9921,0.9031,0.9515
[25:30),27.5,27.168,1-5,576,227,0.9965,0.9874,0.9990,0.9931,0.9480,0.9740
[30:35),32.5,32.256,1-5,401,159,1.0000,0.9905,1.0000,1.0000,0.9732,0.9866
[35:40),37.5,37.060,1-5,241,105,1.0000,0.9843,1.0000,1.0000,0.9858,0.9929
[40:45),42.5,42.064,1-5,207,82,1.0000,0.9818,1.0000,1.0000,0.9927,0.9963
[45:50),47.5,47.182,1-5,112,47,1.0000,0.9668,1.0000,1.0000,0.9963,0.9982
[50:55),52.5,51.895,1-5,82,34,1.0000,0.9552,1.0000,1.0000,0.9980,0.9990
[55:60),57.5,61.576,1-5,78,23,1.0000,0.9531,1.0000,1.0000,0.9995,0.9997
