margin_bucket,margin_center,margin_mean,tiles_band,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin
[-5:0),-2.5,-2.985,6-14,2426,445,0.4289,0.4093,0.4487,-0.1422,-0.1964,0.4018
[0:5),2.5,2.219,6-14,2315,441,0.5909,0.5708,0.6108,0.1819,0.1468,0.5734
[5:10),7.5,6.925,6-14,2220,515,0.6514,0.6313,0.6709,0.3027,0.4314,0.7157
[10:15),12.5,11.932,6-14,2030,469,0.7276,0.7078,0.7465,0.4552,0.6615,0.8307
[15:20),17.5,16.878,6-14,1798,428,0.7775,0.7577,0.7962,0.5551,0.8094,0.9047
[20:25),22.5,21.986,6-14,1444,339,0.8601,0.8413,0.8770,0.7202,0.8988,0.9494
[25:30),27.5,26.866,6-14,895,233,0.9324,0.9140,0.9471,0.8648,0.9459,0.9729
[30:35),32.5,31.830,6-14,659,161,0.9378,0.9167,0.9538,0.8756,0.9717,0.9859
[35:40),37.5,36.870,6-14,430,107,0.9628,0.9404,0.9770,0.9256,0.9854,0.9927
[40:45),42.5,41.790,6-14,329,81,0.9848,0.9649,0.9935,0.9696,0.9924,0.9962
[45:50),47.5,46.962,6-14,131,37,1.0000,0.9715,1.0000,1.0000,0.9962,0.9981
[50:55),52.5,51.516,6-14,95,21,1.0000,0.9611,1.0000,1.0000,0.9979,0.9990
[55:60),57.5,59.701,6-14,77,14,1.0000,0.9525,1.0000,1.0000,0.9993,0.9997
[-60:-55),-57.5,-60.902,1-5,112,30,0.0000,0.0000,0.0332,-1.0000,-0.9994,0.0003
[-55:-50),-52.5,-52.347,1-5,49,23,0.0000,0.0000,0.0727,-1.0000,-0.9981,0.0009
[-50:-45),-47.5,-48.039,1-5,155,55,0.0000,0.0000,0.0242,-1.0000,-0.9967,0.0017
[-45:-40),-42.5,-42.765,1-5,204,69,0.0270,0.0120,0.0594,-0.9461,-0.9933,0.0033
[-40:-35),-37.5,-37.938,1-5,276,92,0.0525,0.0318,0.0855,-0.8949,-0.9874,0.0063
[-35:-30),-32.5,-32.830,1-5,476,149,0.0452,0.0299,0.0677,-0.9097,-0.9752,0.0124
[-30:-25),-27.5,-28.086,1-5,641,201,0.0624,0.0462,0.0839,-0.8752,-0.9538,0.0231
[-25:-20),-22.5,-23.137,1-5,835,261,0.1323,0.1110,0.1570,-0.7353,-0.9125,0.0437
[-20:-15),-17.5,-17.840,1-5,887,268,0.1962,0.1714,0.2236,-0.6077,-0.8304,0.0848
[-15:-10),-12.5,-12.891,1-5,1066,327,0.2402,0.2155,0.2667,-0.5197,-0.6960,0.1520
[-10:-5),-7.5,-7.884,1-5,1123,357,0.3847,0.3567,0.4135,-0.2306,-0.4820,0.2590
[-5:0),-2.5,-2.916,1-5,1239,333,0.4641,0.4365,0.4919,-0.0718,-0.1920,0.4040
[0:5),2.5,1.966,1-5,1220,323,0.5385,0.5105,0.5663,0.0770,0.1303,0.5651
