margin_bucket,margin_center,margin_mean,tiles_band,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin
[45:50),47.5,47.254,15-29,71,15,1.0000,0.9487,1.0000,1.0000,0.9963,0.9982
[50:55),52.5,51.526,15-29,19,4,1.0000,0.8318,1.0000,1.0000,0.9979,0.9990
[55:60),57.5,57.600,15-29,5,2,1.0000,0.5655,1.0000,1.0000,0.9991,0.9995
[-60:-55),-57.5,-60.800,6-14,55,13,0.0000,0.0000,0.0653,-1.0000,-0.9994,0.0003
[-55:-50),-52.5,-53.039,6-14,76,17,0.0000,0.0000,0.0481,-1.0000,-0.9983,0.0008
[-50:-45),-47.5,-47.797,6-14,153,40,0.0131,0.0036,0.0464,-0.9739,-0.9966,0.0017
[-45:-40),-42.5,-42.799,6-14,259,73,0.0386,0.0211,0.0696,-0.9228,-0.9934,0.0033
[-40:-35),-37.5,-37.718,6-14,347,96,0.0663,0.0446,0.0975,-0.8674,-0.9870,0.0065
[-35:-30),-32.5,-32.788,6-14,665,177,0.0722,0.0549,0.0944,-0.8556,-0.9751,0.0125
[-30:-25),-27.5,-27.714,6-14,985,258,0.0787,0.0635,0.0972,-0.8426,-0.9515,0.0242
[-25:-20),-22.5,-23.056,6-14,1503,369,0.1301,0.1140,0.1480,-0.7399,-0.9116,0.0442
[-20:-15),-17.5,-17.859,6-14,1987,493,0.1807,0.1644,0.1982,-0.6387,-0.8308,0.0846
[-15:-10),-12.5,-13.023,6-14,2345,580,0.2631,0.2457,0.2813,-0.4738,-0.7005,0.1498
[-10:-5),-7.5,-7.949,6-14,2660,635,0.3774,0.3592,0.3960,-0.2451,-0.4853,0.2573
[-5:0),-2.5,-3.144,6-14,2637,543,0.4077,0.3891,0.4265,-0.1847,-0.2066,0.3967
[0:5),2.5,2.105,6-14,2605,524,0.5983,0.5793,0.6169,0.1965,0.1394,0.5697
[5:10),7.5,6.880,6-14,2687,659,0.6464,0.6282,0.6643,0.2929,0.4290,0.7145
[10:15),12.5,11.990,6-14,2290,567,0.7369,0.7185,0.7545,0.4738,0.6637,0.8318
[15:20),17.5,16.961,6-14,1953,480,0.8333,0.8162,0.8492,0.6667,0.8113,0.9056
[20:25),22.5,22.057,6-14,1340,349,0.8836,0.8653,0.8997,0.7672,0.8997,0.9498
[25:30),27.5,26.579,6-14,1002,253,0.9232,0.9050,0.9381,0.8463,0.9438,0.9719
[30:35),32.5,31.707,6-14,611,164,0.9165,0.8919,0.9359,0.8331,0.9712,0.9856
[35:40),37.5,36.732,6-14,365,101,0.9411,0.9120,0.9610,0.8822,0.9852,0.9926
[40:45),42.5,42.052,6-14,210,57,0.9619,0.9266,0.9806,0.9238,0.9927,0.9963
[45:50),47.5,46.958,6-14,144,39,0.9931,0.9617,0.9988,0.9861,0.9962,0.9981
[50:55),52.5,51.644,6-14,59,17,1.0000,0.9389,1.0000,1.0000,0.9980,0.9990
[55:60),57.5,58.383,6-14,60,13,1.0000,0.9398,1.0000,1.0000,0.9992,0.9996
[-60:-55),-57.5,-61.047,1-5,85,22,0.0000,0.0000,0.0432,-1.0000,-0.9994,0.0003
[-55:-50),-52.5,-52.724,1-5,58,21,0.0345,0.0095,0.1173,-0.9310,-0.9982,0.0009
[-50:-45),-47.5,-47.842,1-5,139,44,0.0360,0.0155,0.0814,-0.9281,-0.9966,0.0017
[-45:-40),-42.5,-42.837,1-5,178,62,0.0056,0.0010,0.0311,-0.9888,-0.9934,0.0033
[-40:-35),-37.5,-37.555,1-5,283,94,0.0300,0.0156,0.0571,-0.9399,-0.9867,0.0066
[-35:-30),-32.5,-32.837,1-5,361,129,0.0886,0.0635,0.1225,-0.8227,-0.9752,0.0124
[-30:-25),-27.5,-27.899,1-5,675,225,0.0793,0.0612,0.1021,-0.8415,-0.9527,0.0237
[-25:-20),-22.5,-22.937,1-5,776,256,0.1037,0.0842,0.1272,-0.7925,-0.9103,0.0449
[-20:-15),-17.5,-17.906,1-5,1057,361,0.1911,0.1685,0.2159,-0.6178,-0.8317,0.0841
[-15:-10),-12.5,-13.103,1-5,1278,419,0.2672,0.2437,0.2921,-0.4656,-0.7031,0.1484
[-10:-5),-7.5,-7.992,1-5,1315,427,0.3684,0.3428,0.3949,-0.2631,-0.4875,0.2563
[-5:0),-2.5,-3.028,1-5,1412,399,0.4341,0.4085,0.4601,-0.1317,-0.1991,0.4004
[0:5),2.5,2.035,1-5,1359,394,0.5905,0.5641,0.6164,0.1810,0.1349,0.5674
[5:10),7.5,6.975,1-5,1290,430,0.6736,0.6476,0.6987,0.3473,0.4342,0.7171
[10:15),12.5,11.982,1-5,1227,406,0.6895,0.6630,0.7148,0.3790,0.6634,0.8317
[15:20),17.5,16.888,1-5,1064,348,0.8224,0.7983,0.8442,0.6447,0.8096,0.9048
[20:25),22.5,21.842,1-5,740,244,0.9014,0.8777,0.9208,0.8027,0.8969,0.9484
[25:30),27.5,26.834,1-5,627,200,0.9394,0.9179,0.9555,0.8788,0.9456,0.9728
[30:35),32.5,31.687,1-5,380,130,0.9145,0.8820,0.9386,0.8289,0.9712,0.9856
[35:40),37.5,36.573,1-5,253,84,0.9664,0.9363,0.9825,0.9328,0.9849,0.9924
[40:45),42.5,41.975,1-5,160,55,1.0000,0.9766,1.0000,1.0000,0.9926,0.9963
[45:50),47.5,46.684,1-5,136,42,0.9632,0.9168,0.9842,0.9265,0.9960,0.9980
[50:55),52.5,51.632,1-5,68,22,1.0000,0.9465,1.0000,1.0000,0.9980,0.9990
[55:60),57.5,60.419,1-5,74,20,1.0000,0.9506,1.0000,1.0000,0.9994,0.9997
